SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,9,10,0,0,0,1,1,10,9,6,1,66.7,22.2,11.1
2010-11,03053,Finley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27402,Franklin Pierce,113,53,0,3,5,6,8,83,83,55,6,66.3,26.5,7.2
2010-11,32358,Freeman,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,38302,Garfield,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20404,Goldendale,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31332,Granite Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,17401,Highline,248,120,7,8,8,20,23,140,228,142,20,62.3,28.9,8.8
2010-11,06098,Hockinson,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,14028,Hoquiam,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17411,Issaquah,32,11,0,0,0,0,0,23,20,20,0,100.0,0.0,0.0
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08458,Kelso,10,3,0,0,0,1,0,7,6,5,0,83.3,16.7,0.0
2010-11,03017,Kennewick,37,19,1,0,3,5,3,27,29,15,2,51.7,41.4,6.9
2010-11,17415,Kent,278,132,3,8,10,22,19,197,213,136,15,63.8,29.1,7.0
2010-11,33212,Kettle Falls,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,03052,Kiona-Benton City,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,19403,Kittitas,1,0,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2010-11,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06101,La Center,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,29311,La Conner,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14097,Lake Quinault,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31004,Lake Stevens,12,7,0,0,0,0,0,11,8,8,0,100.0,0.0,0.0
2010-11,17414,Lake Washington,58,13,0,2,1,0,1,35,36,32,0,88.9,11.1,0.0
2010-11,31306,Lakewood,10,1,0,0,1,1,0,7,4,2,0,50.0,50.0,0.0
2010-11,32362,Liberty,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08122,Longview,14,7,0,0,0,3,1,9,12,6,2,50.0,33.3,16.7
2010-11,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37504,Lynden,6,1,0,0,0,0,1,2,5,4,0,80.0,20.0,0.0
2010-11,39120,Mabton,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2010-11,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33207,Mary Walker,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31025,Marysville,25,23,0,0,3,1,1,25,23,17,1,73.9,21.7,4.3
2010-11,32354,Mead,10,2,0,0,0,0,1,2,10,9,0,90.0,10.0,0.0
2010-11,32326,Medical Lake,4,4,0,0,0,0,0,3,5,5,0,100.0,0.0,0.0
2010-11,17400,Mercer Island,5,3,0,0,0,0,0,5,3,3,0,100.0,0.0,0.0
2010-11,37505,Meridian,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31103,Monroe,3,40,0,0,0,7,13,10,33,3,10,9.1,60.6,30.3
2010-11,14066,Montesano,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,21214,Morton,2,1,0,0,0,1,0,2,1,0,0,0.0,100.0,0.0
2010-11,13161,Moses Lake,10,4,0,0,0,0,1,7,7,5,1,71.4,14.3,14.3
2010-11,21206,Mossyrock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39209,Mount Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37507,Mount Baker,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,29320,Mount Vernon,5,12,0,0,0,0,0,12,5,5,0,100.0,0.0,0.0
2010-11,31006,Mukilteo,77,36,0,0,1,3,2,50,63,56,1,88.9,9.5,1.6
2010-11,39003,Naches Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21014,Napavine,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,25155,Naselle-Grays River Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,26056,Newport,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,32325,Nine Mile Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37506,Nooksack Valley,0,2,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2010-11,14064,North Beach,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,11051,North Franklin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18400,North Kitsap,9,1,0,0,0,1,0,4,6,5,0,83.3,16.7,0.0
2010-11,23403,North Mason,5,1,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2010-11,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34003,North Thurston,88,51,1,2,3,7,8,49,90,69,0,76.7,23.3,0.0
2010-11,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17417,Northshore,39,12,1,0,1,2,0,16,35,31,0,88.6,11.4,0.0
2010-11,15201,Oak Harbor,32,7,1,0,1,0,2,12,27,22,1,81.5,14.8,3.7
2010-11,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25101,Ocean Beach,3,3,1,0,0,0,0,3,3,2,0,66.7,33.3,0.0
2010-11,14172,Ocosta,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34974,Office of the Governor (School for the Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24105,Okanogan,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,34111,Olympia,28,11,0,0,0,2,0,19,20,16,2,80.0,10.0,10.0
2010-11,24019,Omak,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,21300,Onalaska,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,28137,Orcas Island,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,24410,Oroville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27344,Orting,1,3,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,01147,Othello,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38301,Palouse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,11001,Pasco,28,7,0,0,3,0,0,11,24,20,1,83.3,12.5,4.2
2010-11,24122,Pateros,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21301,Pe Ell,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27401,Peninsula,17,0,0,0,0,0,1,7,10,9,0,90.0,10.0,0.0
2010-11,12110,Pomeroy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05121,Port Angeles,12,3,0,0,1,2,0,3,12,9,0,75.0,25.0,0.0
2010-11,16050,Port Townsend,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,36402,Prescott,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,03116,Prosser,3,2,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2010-11,38267,Pullman,11,2,0,0,0,0,0,4,9,9,0,100.0,0.0,0.0
2010-11,27003,Puyallup,83,60,0,1,10,11,2,39,104,74,6,71.2,23.1,5.8
2010-11,16048,Quilcene,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05402,Quillayute Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13144,Quincy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34307,Rainier,3,1,0,0,0,0,1,2,2,1,0,50.0,50.0,0.0
2010-11,25116,Raymond,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,22009,Reardan-Edwall,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17403,Renton,252,99,4,5,11,10,13,166,185,134,8,72.4,23.2,4.3
2010-11,10309,Republic,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,03400,Richland,24,9,0,0,0,2,1,13,20,17,0,85.0,15.0,0.0
2010-11,06122,Ridgefield,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,01160,Ritzville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32416,Riverside,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17407,Riverview,1,1,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,34401,Rochester,1,3,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13160,Royal,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,28149,San Juan Island,1,3,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2010-11,17001,Seattle,829,248,17,21,20,63,64,358,719,496,38,69.0,25.7,5.3
2010-11,29101,Sedro-Woolley,4,0,0,0,1,0,0,2,2,1,0,50.0,50.0,0.0
2010-11,39119,Selah,2,2,0,1,0,0,0,2,2,1,0,50.0,50.0,0.0
2010-11,26070,Selkirk,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05323,Sequim,5,1,0,0,0,2,0,0,6,3,1,50.0,33.3,16.7
2010-11,23309,Shelton,5,3,0,0,1,0,0,6,2,1,0,50.0,50.0,0.0
2010-11,17412,Shoreline,61,14,2,0,1,2,2,21,54,47,0,87.0,13.0,0.0
2010-11,17404,Skykomish,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31201,Snohomish,6,5,0,0,0,0,2,6,5,3,0,60.0,40.0,0.0
2010-11,17410,Snoqualmie Valley,4,1,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,13156,Soap Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25118,South Bend,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,18402,South Kitsap,34,12,0,1,2,1,3,18,28,21,0,75.0,25.0,0.0
2010-11,15206,South Whidbey,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,32081,Spokane,118,28,4,2,6,5,6,52,94,69,2,73.4,24.5,2.1
2010-11,22008,Sprague,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38322,St. John,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31401,Stanwood-Camano,3,5,0,0,0,1,0,3,5,4,0,80.0,20.0,0.0
2010-11,27001,Steilacoom Historical,48,12,0,0,0,5,1,31,29,23,0,79.3,20.7,0.0
2010-11,30303,Stevenson-Carson,1,1,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2010-11,31311,Sultan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
