SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,37502,Ferndale,275,23,1,5,14,22,13,31,267,206,6,77.2,20.6,2.2
2013-14,27417,Fife,163,18,2,0,2,9,7,23,158,136,2,86.1,12.7,1.3
2013-14,03053,Finley,41,3,0,0,0,1,0,2,42,41,0,97.6,2.4,0.0
2013-14,27402,Franklin Pierce,267,47,0,0,6,14,11,47,267,228,8,85.4,11.6,3.0
2013-14,32358,Freeman,68,6,0,0,0,0,1,13,61,60,0,98.4,1.6,0.0
2013-14,38302,Garfield,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20401,Glenwood,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20404,Goldendale,70,17,1,2,3,3,5,3,83,67,2,80.7,16.9,2.4
2013-14,13301,Grand Coulee Dam,14,0,0,0,0,0,1,1,13,10,2,76.9,7.7,15.4
2013-14,39200,Grandview,27,3,0,0,0,1,1,6,24,21,1,87.5,8.3,4.2
2013-14,39204,Granger,7,0,0,0,0,0,0,2,5,5,0,100.0,0.0,0.0
2013-14,31332,Granite Falls,183,18,4,0,8,8,13,15,186,142,11,76.3,17.7,5.9
2013-14,22204,Harrington,,,,,,,,,,,,n/a,n/a,n/a
2013-14,39203,Highland,23,6,1,0,0,1,0,4,25,23,0,92.0,8.0,0.0
2013-14,17401,Highline,425,47,6,5,12,27,34,35,437,322,31,73.7,19.2,7.1
2013-14,06098,Hockinson,142,15,0,3,0,3,2,23,134,124,2,92.5,6.0,1.5
2013-14,14028,Hoquiam,105,12,1,3,3,3,14,15,102,78,0,76.5,23.5,0.0
2013-14,10070,Inchelium,,,,,,,,,,,,n/a,n/a,n/a
