SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2013-14,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3251,138,4.24,89,2.74,12,0.37,101,3.11,43,1.32,920,28.3,1904,58.57,145,4.46,1656,50.94,1595,49.06,96,3,315,9.85,503,15.73,2195,68.66,35,1.09,40,1.25,17,15.2,132,68.75
2013-14,Educational Service District 113,21,Lewis,21226,Adna School District,590,2,0.34,5,0.85,0,0,5,0.85,2,0.34,33,5.59,533,90.34,15,2.54,316,53.56,274,46.44,0,0,3,0.5,51,8.43,157,25.95,13,2.15,N<10,,17,16.9,26,76.47
2013-14,Educational Service District 101,22,Lincoln,22017,Almira School District,93,0,0,0,0,0,0,0,0,1,1.08,5,5.38,84,90.32,3,3.23,51,54.84,42,45.16,0,0,0,0,10,10.1,38,38.38,0,0,N<10,,8,19.2,9,81.82
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2741,30,1.09,89,3.25,3,0.11,92,3.36,47,1.71,230,8.39,2302,83.98,40,1.46,1421,51.84,1320,48.16,13,0.48,56,2.06,290,10.69,854,31.48,217,8,10,0.37,20,16.1,107,77.54
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5450,55,1.01,85,1.56,29,0.53,114,2.09,65,1.19,623,11.43,4340,79.63,253,4.64,2846,52.22,2604,47.78,55,1,197,3.6,602,10.99,1813,33.11,72,1.31,38,0.69,20,13.6,201,72.56
2013-14,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,616,5,0.81,3,0.49,0,0,3,0.49,1,0.16,44,7.14,523,84.9,40,6.49,300,48.7,316,51.3,0,0,0,0,77,12.42,210,33.87,11,1.77,N<10,,16,13.6,20,52.63
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,15046,223,1.48,1135,7.54,456,3.03,1591,10.57,1025,6.81,3703,24.61,7209,47.91,1295,8.61,7619,50.64,7427,49.36,44,0.29,2099,14.01,1605,10.71,8131,54.25,249,1.66,80,0.53,19,14.4,557,68.6
2013-14,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3928,30,0.76,142,3.62,5,0.13,147,3.74,21,0.53,251,6.39,3171,80.73,308,7.84,2006,51.07,1922,48.93,0,0,29,0.74,456,11.59,296,7.52,216,5.49,N<10,,17,15.5,188,79.66
2013-14,Educational Service District 112,06,Clark,06119,Battle Ground School District,13288,38,0.29,240,1.81,42,0.32,282,2.12,72,0.54,1061,7.98,11152,83.93,683,5.14,6849,51.54,6439,48.46,3,0.02,730,5.5,1635,12.33,4976,37.52,238,1.79,91,0.69,19,14.2,513,71.75
2013-14,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,18953,39,0.21,6163,32.52,32,0.17,6195,32.69,515,2.72,2182,11.51,8413,44.39,1609,8.49,9881,52.13,9072,47.87,0,0,1936,10.14,1266,6.63,3748,19.64,790,4.14,31,0.16,15,11.1,919,72.99
2013-14,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,11136,124,1.11,617,5.54,26,0.23,643,5.77,167,1.5,1650,14.82,7757,69.66,795,7.14,5714,51.31,5422,48.69,66,0.59,665,5.97,1508,13.53,4162,37.35,570,5.12,83,0.74,18,14.5,419,68.13
2013-14,Educational Service District 101,01,Adams,01122,Benge School District,8,0,0,1,12.5,0,0,1,12.5,0,0,0,0,7,87.5,0,0,6,75,2,25,0,0,0,0,2,25,0,0.00,0,0,N<10,,4,7.4,0,
2013-14,Puget Sound Educational Service District 121,27,Pierce,27403,Bethel School District,17808,298,1.67,954,5.36,508,2.85,1462,8.21,1561,8.77,2600,14.6,10506,59,1377,7.73,9357,52.54,8451,47.46,5,0.03,291,1.65,2295,13.04,8111,46.07,311,1.77,170,0.97,18,13.6,644,65.51
2013-14,Educational Service District 105,20,Klickitat,20203,Bickleton School District,93,0,0,0,0,0,0,0,0,2,2.15,32,34.41,55,59.14,4,4.3,51,54.84,42,45.16,1,1.1,0,0,13,14.29,0,0.00,0,0,N<10,,7,15.9,9,69.23
2013-14,Northwest Educational Service District 189,37,Whatcom,37503,Blaine School District,2120,22,1.04,61,2.88,28,1.32,89,4.2,30,1.42,261,12.31,1593,75.14,125,5.9,1093,51.56,1027,48.44,9,0.42,81,3.78,322,15.01,1009,47.04,82,3.82,18,0.84,18,15.8,84,70
