SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2011-12,Educational Service District 113,34,Thurston,34111,Olympia School District,9340,72,0.77,686,7.34,43,0.46,729,7.81,162,1.73,785,8.4,6874,73.6,718,7.69,4793,51.32,4547,48.68,0,0,200,2.14,1220,13.08,2642,28.33,159,1.7,0,0,19,13.4,357,72.27
2011-12,North Central Educational Service District 171,24,Okanogan,24019,Omak School District,2838,515,18.15,40,1.41,6,0.21,46,1.62,37,1.3,491,17.3,1586,55.88,163,5.74,1472,51.87,1366,48.13,14,0.44,85,2.67,458,14.39,1140,35.82,14,0.44,0,0,21,12,85,62.5
2011-12,Educational Service District 113,21,Lewis,21300,Onalaska School District,867,11,1.27,4,0.46,2,0.23,6,0.69,2,0.23,77,8.88,755,87.08,16,1.85,431,49.71,436,50.29,0,0,19,2.24,103,12.12,483,56.82,0,0,0,0,19,11.8,31,68.89
2011-12,Educational Service District 101,33,Stevens,33030,Onion Creek School District,34,0,0,1,2.94,0,0,1,2.94,0,0,2,5.88,30,88.24,1,2.94,17,50,17,50,0,0,0,0,7,15.91,40,90.91,1,2.27,0,0,7,12.4,3,60
2011-12,Northwest Educational Service District 189,28,San Juan,28137,Orcas Island School District,683,3,0.44,23,3.37,3,0.44,26,3.81,8,1.17,36,5.27,600,87.85,10,1.46,339,49.63,344,50.37,0,0,18,2.66,69,10.19,237,35.01,11,1.62,0,0,13,11.4,30,56.6
2011-12,Educational Service District 101,32,Spokane,32123,Orchard Prairie School District,67,0,0,0,0,0,0,0,0,0,0,4,5.97,63,94.03,0,0,32,47.76,35,52.24,0,0,0,0,10,14.49,0,0,0,0,0,0,11,13.9,4,66.67
2011-12,Educational Service District 101,10,Ferry,10065,Orient School District,319,2,0.63,2,0.63,2,0.63,4,1.25,12,3.76,10,3.13,287,89.97,4,1.25,180,56.43,139,43.57,0,0,0,0,14,3.83,27,7.38,0,0,0,0,40,11.3,8,100
2011-12,North Central Educational Service District 171,09,Douglas,09013,Orondo School District,188,0,0,0,0,0,0,0,0,0,0,160,85.11,28,14.89,0,0,94,50,94,50,54,28.72,103,54.79,25,13.3,182,96.81,0,0,0,0,13,10.1,11,78.57
2011-12,North Central Educational Service District 171,24,Okanogan,24410,Oroville School District,673,15,2.23,6,0.89,2,0.3,8,1.19,2,0.3,225,33.43,408,60.62,15,2.23,341,50.67,332,49.33,1,0.15,98,14.76,99,14.91,460,69.28,7,1.05,0,0,17,14.9,21,52.5
2011-12,Puget Sound Educational Service District 121,27,Pierce,27344,Orting School District,2365,16,0.68,24,1.01,10,0.42,34,1.44,18,0.76,263,11.12,1854,78.39,180,7.61,1215,51.37,1150,48.63,0,0,33,1.39,352,14.85,891,37.59,235,9.92,3,0.13,22,10.5,63,57.27
2011-12,Educational Service District 123,01,Adams,01147,Othello School District,3786,3,0.08,8,0.21,0,0,8,0.21,3,0.08,3239,85.55,515,13.6,18,0.48,1943,51.32,1843,48.68,409,10.89,1346,35.83,425,11.31,3017,80.3,49,1.3,0,0,20,9.6,108,56.54
2011-12,North Central Educational Service District 171,09,Douglas,09102,Palisades School District,15,0,0,0,0,0,0,0,0,0,0,14,93.33,1,6.67,0,0,8,53.33,7,46.67,7,38.89,11,61.11,1,5.56,11,61.11,0,0,0,0,5,3.1,1,33.33
2011-12,Educational Service District 101,38,Whitman,38301,Palouse School District,186,2,1.08,0,0,0,0,0,0,0,0,17,9.14,156,83.87,11,5.91,102,54.84,84,45.16,0,0,0,0,22,11.7,68,36.17,1,0.53,1,0.53,12,19.2,12,75
2011-12,Educational Service District 123,11,Franklin,11001,Pasco School District,15707,36,0.23,195,1.24,29,0.18,224,1.43,308,1.96,10722,68.26,4139,26.35,278,1.77,8033,51.14,7674,48.86,1322,8.47,5277,33.82,2003,12.84,11329,72.61,86,0.55,6,0.04,16,10.7,619,63.49
2011-12,North Central Educational Service District 171,24,Okanogan,24122,Pateros School District,291,2,0.69,1,0.34,0,0,1,0.34,0,0,154,52.92,114,39.18,20,6.87,148,50.86,143,49.14,0,0,40,13.65,33,11.26,219,74.74,0,0,0,0,13,17,17,73.91
2011-12,Educational Service District 123,03,Benton,03050,Paterson School District,109,0,0,0,0,0,0,0,0,0,0,52,47.71,57,52.29,0,0,60,55.05,49,44.95,35,32.11,33,30.28,14,12.84,106,97.25,0,0,0,0,12,14.9,6,66.67
2011-12,Educational Service District 113,21,Lewis,21301,Pe Ell School District,294,6,2.04,0,0,0,0,0,0,1,0.34,15,5.1,256,87.07,16,5.44,148,50.34,146,49.66,0,0,0,0,36,12,198,66,0,0,0,0,15,11.6,18,94.74
2011-12,Puget Sound Educational Service District 121,27,Pierce,27401,Peninsula School District,9188,58,0.63,170,1.85,33,0.36,203,2.21,65,0.71,466,5.07,7684,83.63,712,7.75,4688,51.02,4500,48.98,0,0,80,0.87,1118,12.15,2242,24.37,30,0.33,24,0.26,19,14.5,354,72.84
2011-12,Educational Service District 113,23,Mason,23402,Pioneer School District,752,14,1.86,1,0.13,0,0,1,0.13,9,1.2,81,10.77,596,79.26,51,6.78,394,52.39,358,47.61,0,0,0,0,176,23.59,470,63,3,0.4,5,0.67,16,14.5,29,63.04
2011-12,Educational Service District 123,12,Garfield,12110,Pomeroy School District,310,3,0.97,3,0.97,0,0,3,0.97,0,0,16,5.16,280,90.32,8,2.58,158,50.97,152,49.03,0,0,1,0.31,61,18.71,150,46.01,5,1.53,1,0.31,13,17.6,16,69.57
