SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2009-10,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3424,137,4,78,2.28,7,0.2,85,2.48,22,0.64,628,18.34,2329,68.02,0,0,1794,52.39,1630,47.61,92,2.76,242,7.27,512,15.38,2138,64.22,23,0.69,36,1.08,17,12.8,129,65.48
2009-10,Educational Service District 113,21,Lewis,21226,Adna School District,598,10,1.67,11,1.84,6,1,17,2.84,3,0.5,18,3.01,545,91.14,0,0,322,53.85,276,46.15,0,0,2,0.33,53,8.77,193,31.95,2,0.33,3,0.5,16,11.7,27,72.97
2009-10,Educational Service District 101,22,Lincoln,22017,Almira School District,84,0,0,0,0,0,0,0,0,2,2.38,2,2.38,80,95.24,0,0,38,45.24,46,54.76,0,0,0,0,8,9.41,36,42.35,0,0,0,0,7,14.7,11,91.67
2009-10,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2737,57,2.08,106,3.87,6,0.22,112,4.09,44,1.61,162,5.92,2360,86.23,0,0,1411,51.55,1326,48.45,0,0,50,1.83,276,10.13,963,35.34,35,1.28,17,0.62,19,13.6,108,73.47
2009-10,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5537,113,2.04,216,3.9,5,0.09,221,3.99,117,2.11,438,7.91,4639,83.78,0,0,2829,51.09,2708,48.91,0,0,173,3.1,590,10.59,1529,27.44,15,0.27,25,0.45,20,11.3,200,71.68
2009-10,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,636,10,1.57,4,0.63,0,0,4,0.63,5,0.79,15,2.36,593,93.24,0,0,337,52.99,299,47.01,0,0,0,0,103,16.19,245,38.52,2,0.31,1,0.16,16,13.6,21,53.85
2009-10,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,14785,482,3.26,1692,11.44,93,0.63,1785,12.07,1206,8.16,2678,18.11,8505,57.52,0,0,7631,51.61,7154,48.39,0,0,1737,11.86,1733,11.84,7111,48.57,222,1.52,61,0.42,19,12.7,521,66.71
2009-10,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3926,45,1.15,196,4.99,8,0.2,204,5.2,41,1.04,116,2.95,3416,87.01,0,0,2009,51.17,1917,48.83,0,0,35,0.89,517,13.08,285,7.21,145,3.67,7,0.18,15,13.5,204,78.76
2009-10,Educational Service District 112,06,Clark,06119,Battle Ground School District,13222,102,0.77,345,2.61,22,0.17,367,2.78,163,1.23,570,4.31,11561,87.44,0,0,6790,51.35,6432,48.65,0,0,666,5.05,1638,12.42,4907,37.21,118,0.89,38,0.29,19,13,470,67.24
2009-10,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,17578,64,0.36,4784,27.22,3,0.02,4787,27.23,529,3.01,1577,8.97,9008,51.25,0,0,9240,52.57,8338,47.43,0,0,1692,9.47,1869,10.46,3675,20.57,511,2.86,20,0.11,17,9.6,694,66.79
2009-10,Northwest Educational Service District 189,37,Whatcom,37501,Bellingham School District,10880,244,2.24,778,7.15,2,0.02,780,7.17,324,2.98,1259,11.57,8273,76.04,0,0,5529,50.82,5351,49.18,0,0,565,5.24,1360,12.6,4136,38.32,155,1.44,64,0.59,19,12.6,395,67.29
2009-10,Educational Service District 101,01,Adams,01122,Benge School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.5,0,
2009-10,Puget Sound Educational Service District 121,27,Pierce,27403,Bethel School District,17651,543,3.08,1555,8.81,0,0,1555,8.81,2121,12.02,2249,12.74,11183,63.36,0,0,9216,52.21,8435,47.79,0,0,208,1.2,2520,14.49,7159,41.17,195,1.12,97,0.56,19,11.4,613,66.2
2009-10,Educational Service District 105,20,Klickitat,20203,Bickleton School District,91,0,0,1,1.1,0,0,1,1.1,0,0,28,30.77,53,58.24,0,0,51,56.04,40,43.96,0,0,0,0,10,11.24,0,0,0,0,0,0,7,13.5,8,61.54
2009-10,Northwest Educational Service District 189,37,Whatcom,37503,Blaine School District,2150,35,1.63,108,5.02,11,0.51,119,5.53,59,2.74,172,8,1756,81.67,0,0,1106,51.44,1044,48.56,0,0,0,0,271,12.54,794,36.74,51,2.36,11,0.51,17,11.6,78,62.9
2009-10,Educational Service District 113,21,Lewis,21234,Boistfort School District,88,0,0,0,0,0,0,0,0,0,0,3,3.41,85,96.59,0,0,51,57.95,37,42.05,0,0,0,0,21,24.14,51,58.62,0,0,2,2.3,15,11.6,5,83.33
2009-10,Olympic Educational Service District 114,18,Kitsap,18100,Bremerton School District,4855,186,3.83,339,6.98,147,3.03,486,10.01,423,8.71,339,6.98,2856,58.83,0,0,2566,52.85,2289,47.15,0,0,127,2.63,748,15.48,2889,59.78,62,1.28,48,0.99,16,14.1,172,55.84
2009-10,North Central Educational Service District 171,24,Okanogan,24111,Brewster School District,950,13,1.37,1,0.11,0,0,1,0.11,4,0.42,796,83.79,128,13.47,0,0,515,54.21,435,45.79,0,0,390,41.98,154,16.58,761,81.92,8,0.86,2,0.22,18,11.9,37,68.52
2009-10,North Central Educational Service District 171,09,Douglas,09075,Bridgeport School District,740,5,0.68,1,0.14,1,0.14,2,0.27,3,0.41,645,87.16,85,11.49,0,0,400,54.05,340,45.95,152,20.68,224,30.48,82,11.16,735,100,0,0,0,0,16,11.8,20,43.48
2009-10,Olympic Educational Service District 114,16,Jefferson,16046,Brinnon School District,29,0,0,0,0,0,0,0,0,0,0,0,0,24,82.76,0,0,11,37.93,18,62.07,0,0,0,0,5,16.13,24,77.42,0,0,0,0,6,5.7,4,80
2009-10,Northwest Educational Service District 189,29,Skagit,29100,Burlington-Edison School District,3928,49,1.25,62,1.58,12,0.31,74,1.88,32,0.81,1202,30.6,2403,61.18,0,0,2013,51.25,1915,48.75,98,2.57,33,0.86,539,14.12,1728,45.27,16,0.42,16,0.42,19,11.8,122,57.55
2009-10,Educational Service District 112,06,Clark,06117,Camas School District,5844,59,1.01,393,6.72,2,0.03,395,6.76,88,1.51,158,2.7,4895,83.76,0,0,3006,51.44,2838,48.56,0,0,92,1.58,762,13.07,1275,21.86,85,1.46,10,0.17,19,11.2,247,80.72
2009-10,Olympic Educational Service District 114,05,Clallam,05401,Cape Flattery School District,467,325,69.59,4,0.86,0,0,4,0.86,1,0.21,8,1.71,117,25.05,0,0,239,51.18,228,48.82,0,0,75,16.48,60,13.19,281,61.76,9,1.98,2,0.44,10,9.5,22,47.83
2009-10,Puget Sound Educational Service District 121,27,Pierce,27019,Carbonado School District,183,0,0,0,0,0,0,0,0,0,0,1,0.55,178,97.27,0,0,82,44.81,101,55.19,0,0,0,0,18,9.78,19,10.33,0,0,0,0,15,11,9,75
2009-10,North Central Educational Service District 171,04,Chelan,04228,Cascade School District,1231,10,0.81,9,0.73,2,0.16,11,0.89,10,0.81,364,29.57,834,67.75,0,0,618,50.2,613,49.8,1,0.08,164,13.42,124,10.15,580,47.46,5,0.41,3,0.25,17,12.4,44,60.27
2009-10,North Central Educational Service District 171,04,Chelan,04222,Cashmere School District,1471,19,1.29,14,0.95,1,0.07,15,1.02,16,1.09,490,33.31,922,62.68,0,0,738,50.17,733,49.83,104,7.13,215,14.74,118,8.09,693,47.5,13,0.89,11,0.75,17,12.7,57,67.06
2009-10,Educational Service District 112,08,Cowlitz,08401,Castle Rock School District,1400,31,2.21,31,2.21,0,0,31,2.21,13,0.93,50,3.57,1242,88.71,0,0,720,51.43,680,48.57,0,0,29,2.05,244,17.24,640,45.23,26,1.84,11,0.78,19,11.6,55,76.39
2009-10,Educational Service District 112,20,Klickitat,20215,Centerville School District,84,6,7.14,1,1.19,0,0,1,1.19,0,0,3,3.57,74,88.1,0,0,46,54.76,38,45.24,0,0,0,0,11,12.22,20,22.22,0,0,0,0,17,16.7,4,80
2009-10,Olympic Educational Service District 114,18,Kitsap,18401,Central Kitsap School District,11365,132,1.16,853,7.51,420,3.7,1273,11.2,431,3.79,570,5.02,7595,66.83,0,0,5820,51.21,5545,48.79,0,0,192,1.63,1778,15.11,2836,24.1,0,0,55,0.47,17,13.6,421,61.82
2009-10,Educational Service District 101,32,Spokane,32356,Central Valley School District,12398,162,1.31,216,1.74,34,0.27,250,2.02,144,1.16,403,3.25,10804,87.14,0,0,6388,51.52,6010,48.48,0,0,223,1.77,1683,13.37,4835,38.41,187,1.49,63,0.5,17,12.7,514,71.19
2009-10,Educational Service District 113,21,Lewis,21401,Centralia School District,2632,24,0.91,25,0.95,2,0.08,27,1.03,17,0.65,579,22,1779,67.59,0,0,1363,51.79,1269,48.21,111,3.23,267,7.78,524,15.27,2178,63.46,36,1.05,26,0.76,13,12.9,133,66.17
2009-10,Educational Service District 113,21,Lewis,21302,Chehalis School District,2916,37,1.27,59,2.02,13,0.45,72,2.47,94,3.22,292,10.01,2401,82.34,0,0,1571,53.88,1345,46.12,0,0,71,2.46,388,13.43,1334,46.16,7,0.24,19,0.66,19,14.6,119,76.28
2009-10,Educational Service District 101,32,Spokane,32360,Cheney School District,3893,134,3.44,137,3.52,5,0.13,142,3.65,102,2.62,219,5.63,3217,82.64,0,0,2044,52.5,1849,47.5,0,0,76,1.93,673,17.12,1823,46.39,55,1.4,30,0.76,17,13,163,69.96
2009-10,Educational Service District 101,33,Stevens,33036,Chewelah School District,983,12,1.22,12,1.22,0,0,12,1.22,6,0.61,21,2.14,910,92.57,0,0,506,51.48,477,48.52,0,0,2,0.2,135,13.8,574,58.69,7,0.72,21,2.15,17,16.2,48,82.76
2009-10,Olympic Educational Service District 114,16,Jefferson,16049,Chimacum School District,1140,34,2.98,33,2.89,0,0,33,2.89,26,2.28,69,6.05,977,85.7,0,0,575,50.44,565,49.56,0,0,9,0.79,153,13.39,472,41.29,28,2.45,0,0,18,13.7,36,58.06
2009-10,Educational Service District 123,02,Asotin,02250,Clarkston School District,2756,63,2.29,21,0.76,4,0.15,25,0.91,45,1.63,101,3.66,2456,89.11,0,0,1416,51.38,1340,48.62,0,0,19,0.69,567,20.57,1487,53.96,13,0.47,38,1.38,19,15.2,80,55.94
2009-10,Educational Service District 105,19,Kittitas,19404,Cle Elum-Roslyn School District,897,12,1.34,13,1.45,2,0.22,15,1.67,4,0.45,36,4.01,818,91.19,0,0,463,51.62,434,48.38,0,0,7,0.76,99,10.73,340,36.84,6,0.65,5,0.54,17,13.6,28,53.85
2009-10,Puget Sound Educational Service District 121,27,Pierce,27400,Clover Park School District,11947,197,1.65,768,6.43,449,3.76,1217,10.19,2154,18.03,2290,19.17,5193,43.47,0,0,6146,51.44,5801,48.56,0,0,1153,9.81,1726,14.68,7512,63.9,50,0.43,72,0.61,19,11.6,398,61.71
2009-10,Educational Service District 101,38,Whitman,38300,Colfax School District,648,5,0.77,21,3.24,2,0.31,23,3.55,2,0.31,16,2.47,601,92.75,0,0,343,52.93,305,47.07,0,0,0,0,69,10.65,186,28.7,5,0.77,0,0,14,14.9,32,71.11
2009-10,Educational Service District 123,36,Walla Walla,36250,College Place School District,749,11,1.47,4,0.53,0,0,4,0.53,18,2.4,301,40.19,415,55.41,0,0,391,52.2,358,47.8,25,3.31,166,21.96,108,14.29,486,64.29,4,0.53,7,0.93,15,11.4,38,74.51
2009-10,Educational Service District 101,38,Whitman,38306,Colton School District,172,0,0,1,0.58,0,0,1,0.58,2,1.16,0,0,163,94.77,0,0,93,54.07,79,45.93,0,0,0,0,21,12.07,32,18.39,8,4.6,0,0,11,9.7,13,81.25
2009-10,Educational Service District 101,33,Stevens,33206,Columbia (Stevens) School District,198,85,42.93,0,0,1,0.51,1,0.51,1,0.51,5,2.53,105,53.03,0,0,100,50.51,98,49.49,0,0,0,0,23,11.5,146,73,0,0,2,1,9,14.1,13,61.9
2009-10,Educational Service District 123,36,Walla Walla,36400,Columbia (Walla Walla) School District,918,8,0.87,8,0.87,0,0,8,0.87,13,1.42,225,24.51,663,72.22,0,0,471,51.31,447,48.69,30,3.33,71,7.87,110,12.2,415,46.01,0,0,5,0.55,17,13.7,32,59.26
2009-10,Educational Service District 101,33,Stevens,33115,Colville School District,2764,81,2.93,55,1.99,5,0.18,60,2.17,12,0.43,62,2.24,2510,90.81,0,0,1357,49.1,1407,50.9,0,0,30,1.08,261,9.4,1220,43.92,9,0.32,21,0.76,23,14.4,95,79.83
2009-10,Northwest Educational Service District 189,29,Skagit,29011,Concrete School District,659,19,2.88,7,1.06,0,0,7,1.06,5,0.76,23,3.49,602,91.35,0,0,340,51.59,319,48.41,0,0,0,0,91,14.47,366,58.19,0,0,6,0.95,16,14.3,27,64.29
2009-10,Northwest Educational Service District 189,29,Skagit,29317,Conway School District,431,3,0.7,4,0.93,0,0,4,0.93,5,1.16,60,13.92,359,83.29,0,0,217,50.35,214,49.65,0,0,26,5.96,51,11.7,136,31.19,6,1.38,5,1.15,17,13.5,17,65.38
2009-10,Educational Service District 113,14,Grays Harbor,14099,Cosmopolis School District,180,3,1.67,3,1.67,1,0.56,4,2.22,4,2.22,9,5,155,86.11,0,0,85,47.22,95,52.78,0,0,0,0,21,12.07,68,39.08,0,0,0,0,18,11.7,5,50
2009-10,North Central Educational Service District 171,13,Grant,13151,Coulee-Hartline School District,164,0,0,4,2.44,1,0.61,5,3.05,2,1.22,4,2.44,152,92.68,0,0,96,58.54,68,41.46,0,0,0,0,27,15.61,56,32.37,0,0,0,0,10,14.1,10,62.5
2009-10,Northwest Educational Service District 189,15,Island,15204,Coupeville School District,1093,15,1.37,26,2.38,0,0,26,2.38,42,3.84,67,6.13,943,86.28,0,0,563,51.51,530,48.49,11,1.03,30,2.82,162,15.21,340,31.92,14,1.31,0,0,20,13.4,43,76.79
2009-10,Olympic Educational Service District 114,05,Clallam,05313,Crescent School District,269,31,11.52,2,0.74,0,0,2,0.74,5,1.86,5,1.86,226,84.01,0,0,141,52.42,128,47.58,0,0,0,0,29,10.78,119,44.24,0,0,3,1.12,13,13.3,15,71.43
2009-10,Educational Service District 101,22,Lincoln,22073,Creston School District,113,1,0.88,0,0,0,0,0,0,1,0.88,2,1.77,108,95.58,0,0,57,50.44,56,49.56,0,0,0,0,17,16.67,43,42.16,0,0,0,0,8,11.8,10,71.43
2009-10,Educational Service District 101,10,Ferry,10050,Curlew School District,224,6,2.68,5,2.23,0,0,5,2.23,1,0.45,2,0.89,197,87.95,0,0,111,49.55,113,50.45,0,0,0,0,26,11.4,106,46.49,2,0.88,0,0,13,12.3,12,70.59
2009-10,Educational Service District 101,26,Pend Oreille,26059,Cusick School District,308,108,35.06,0,0,0,0,0,0,2,0.65,3,0.97,185,60.06,0,0,164,53.25,144,46.75,0,0,0,0,44,15.12,159,54.64,0,0,5,1.72,13,12.8,10,43.48
2009-10,Educational Service District 105,19,Kittitas,19007,Damman School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.9,1,50
2009-10,Northwest Educational Service District 189,31,Snohomish,31330,Darrington School District,481,29,6.03,3,0.62,0,0,3,0.62,6,1.25,10,2.08,423,87.94,0,0,268,55.72,213,44.28,0,0,0,0,72,14.6,272,55.17,6,1.22,5,1.01,16,14.1,22,70.97
2009-10,Educational Service District 101,22,Lincoln,22207,Davenport School District,595,7,1.18,2,0.34,2,0.34,4,0.67,2,0.34,14,2.35,567,95.29,0,0,312,52.44,283,47.56,0,0,0,0,77,13.28,317,54.66,2,0.34,2,0.34,18,14.8,23,67.65
2009-10,Educational Service District 123,07,Columbia,07002,Dayton School District,515,13,2.52,9,1.75,0,0,9,1.75,11,2.14,59,11.46,421,81.75,0,0,262,50.87,253,49.13,0,0,0,0,65,12.7,234,45.7,1,0.2,8,1.56,16,16.2,17,51.52
2009-10,Educational Service District 101,32,Spokane,32414,Deer Park School District,2619,65,2.48,25,0.95,2,0.08,27,1.03,25,0.95,74,2.83,2418,92.33,0,0,1340,51.16,1279,48.84,0,0,3,0.11,344,13.13,1258,48.02,0,0,36,1.37,18,13.3,100,69.93
2009-10,Puget Sound Educational Service District 121,27,Pierce,27343,Dieringer School District,1403,10,0.71,25,1.78,11,0.78,36,2.57,10,0.71,33,2.35,1201,85.6,0,0,693,49.39,710,50.61,0,0,16,1.14,151,10.75,105,7.47,17,1.21,3,0.21,19,14.6,51,69.86
2009-10,Educational Service District 123,36,Walla Walla,36101,Dixie School District,27,0,0,0,0,0,0,0,0,0,0,0,0,27,100,0,0,10,37.04,17,62.96,0,0,0,0,9,32.14,18,64.29,0,0,0,0,14,9.6,2,100
2009-10,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),4422,112,2.53,119,2.69,14,0.32,133,3.01,109,2.46,229,5.18,3787,85.64,0,0,2261,51.13,2161,48.87,0,0,107,2.39,666,14.85,2167,48.31,45,1,25,0.56,18,14.8,178,72.06
2009-10,Educational Service District 105,39,Yakima,39090,East Valley School District (Yakima),2849,76,2.67,30,1.05,7,0.25,37,1.3,35,1.23,1013,35.56,1576,55.32,0,0,1508,52.93,1341,47.07,0,0,206,7.2,385,13.45,1384,48.36,8,0.28,20,0.7,18,12.5,98,62.42
2009-10,North Central Educational Service District 171,09,Douglas,09206,Eastmont School District,5558,65,1.17,53,0.95,10,0.18,63,1.13,36,0.65,1954,35.16,3261,58.67,0,0,2851,51.3,2707,48.7,710,12.95,808,14.74,659,12.02,3002,54.77,66,1.2,36,0.66,17,12.2,247,74.85
2009-10,Educational Service District 105,19,Kittitas,19028,Easton School District,98,5,5.1,4,4.08,0,0,4,4.08,0,0,22,22.45,67,68.37,0,0,53,54.08,45,45.92,0,0,0,0,1,1.02,61,62.24,0,0,0,0,8,16.6,6,46.15
2009-10,Puget Sound Educational Service District 121,27,Pierce,27404,Eatonville School District,1918,51,2.66,25,1.3,4,0.21,29,1.51,13,0.68,58,3.02,1713,89.31,0,0,987,51.46,931,48.54,0,0,0,0,204,10.61,676,35.17,15,0.78,7,0.36,17,13.1,74,64.35
2009-10,Northwest Educational Service District 189,31,Snohomish,31015,Edmonds School District,20609,294,1.43,3013,14.62,158,0.77,3171,15.39,1214,5.89,1994,9.68,12248,59.43,0,0,10583,51.35,10026,48.65,0,0,2058,9.98,2723,13.2,6348,30.78,1022,4.96,63,0.31,19,11.9,721,65.01
2009-10,Educational Service District 105,19,Kittitas,19401,Ellensburg School District,3019,48,1.59,63,2.09,0,0,63,2.09,30,0.99,446,14.77,2415,79.99,0,0,1540,51.01,1479,48.99,1,0.03,182,6.09,367,12.28,1013,33.9,48,1.61,20,0.67,18,11.6,107,64.07
2009-10,Educational Service District 113,14,Grays Harbor,14068,Elma School District,1743,65,3.73,19,1.09,4,0.23,23,1.32,26,1.49,164,9.41,1358,77.91,0,0,915,52.5,828,47.5,38,2.19,80,4.62,286,16.5,879,50.72,59,3.4,26,1.5,20,14.8,65,73.03
2009-10,Educational Service District 101,38,Whitman,38308,Endicott School District,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,56.63,36,43.37,0,0,0,0,7,8.54,36,43.9,0,0,0,0,6,12.5,9,69.23
2009-10,North Central Educational Service District 171,04,Chelan,04127,Entiat School District,349,4,1.15,12,3.44,0,0,12,3.44,1,0.29,101,28.94,230,65.9,0,0,190,54.44,159,45.56,5,1.43,41,11.75,41,11.75,199,57.02,0,0,2,0.57,13,12.2,17,65.38
2009-10,Puget Sound Educational Service District 121,17,King,17216,Enumclaw School District,4757,488,10.26,62,1.3,7,0.15,69,1.45,40,0.84,371,7.8,3737,78.56,0,0,2483,52.2,2274,47.8,0,0,148,3.19,578,12.47,1340,28.92,21,0.45,13,0.28,19,13.3,170,68.55
