SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2008-09,Educational Service District 101,32,Spokane,32356,Central Valley School District,12484,170,1.361743031,202,1.618071131,44,0.3524511375,246,1.97052,152,1.217558475,418,3.348285806,10931,87.5600769,6415,51.38577379,6069,48.61422621,0,0,313,2.490650115,1632,12.98639293,4359,34.6860826,17,12.6,515,69.1
2008-09,Educational Service District 101,32,Spokane,32358,Freeman School District,976,31,3.176229508,19,1.946721311,1,0.1024590164,20,2.04918,11,1.12704918,16,1.639344262,893,91.49590164,518,53.07377049,458,46.92622951,0,0,0,0,98,10.28331584,185,19.41238195,18,14.2,43,78.2
2008-09,Educational Service District 101,32,Spokane,32360,Cheney School District,3877,120,3.095176683,148,3.817384576,5,0.1289656951,153,3.94635,116,2.992004127,203,5.236007222,3243,83.64714986,2032,52.4116585,1845,47.5883415,0,0,75,1.937984496,624,16.12403101,1757,45.4005168,17,13.4,160,68.4
2008-09,Educational Service District 101,32,Spokane,32361,East Valley School District (Spokane),4182,114,2.725968436,104,2.486848398,6,0.143472023,110,2.63032,90,2.152080344,196,4.68675275,3651,87.30272597,2117,50.6217121,2065,49.3782879,0,0,107,2.24177666,639,13.38780641,2167,45.40121517,17,14.9,175,70
2008-09,Educational Service District 101,32,Spokane,32362,Liberty School District,469,17,3.624733475,5,1.066098081,0,0,5,1.0661,2,0.4264392324,13,2.771855011,431,91.89765458,258,55.01066098,211,44.98933902,0,0,0,0,58,11.95876289,212,43.71134021,16,13.9,26,86.7
2008-09,Educational Service District 101,32,Spokane,32363,West Valley School District (Spokane),3823,85,2.223384776,78,2.040282501,1,0.02615746796,79,2.06644,118,3.086581219,169,4.420612085,3311,86.60737641,1961,51.29479466,1862,48.70520534,0,0,83,2.145257172,543,14.03463427,1890,48.849832,18,13.8,143,66.8
2008-09,Educational Service District 101,32,Spokane,32414,Deer Park School District,2541,71,2.794175521,19,0.7477371114,2,0.07870916962,21,0.826446,29,1.141282959,62,2.439984258,2351,92.52262889,1310,51.5545061,1231,48.4454939,0,0,4,0.1523229246,350,13.3282559,1260,47.98172125,20,13.3,88,70.4
2008-09,Educational Service District 101,32,Spokane,32416,Riverside School District,1671,40,2.393776182,5,0.2992220227,8,0.4787552364,13,0.777977,8,0.4787552364,38,2.274087373,1538,92.0406942,886,53.02214243,785,46.97785757,0,0,9,0.5217391304,278,16.11594203,849,49.2173913,18,14.7,67,72
2008-09,Educational Service District 101,33,Stevens,33030,Onion Creek School District,27,0,0,3,11.11111111,0,0,3,11.1111,0,0,1,3.703703704,23,85.18518519,6,22.22222222,21,77.77777778,0,0,0,0,7,15.90909091,29,65.90909091,5,18,5,100
2008-09,Educational Service District 101,33,Stevens,33036,Chewelah School District,1034,18,1.740812379,12,1.160541586,0,0,12,1.16054,12,1.160541586,24,2.321083172,958,92.64990329,531,51.35396518,503,48.64603482,0,0,2,0.1934235977,131,12.66924565,555,53.67504836,17,15.6,50,83.3
