SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2012-13,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3273,167,5.1,102,3.12,17,0.52,119,3.64,46,1.41,907,27.71,1932,59.03,102,3.12,1684,51.45,1589,48.55,120,3.7,296,9.12,515,15.87,2203,67.87,30,0.92,0,0,18,11.9,128,69.57
2012-13,Educational Service District 113,21,Lewis,21226,Adna School District,578,3,0.52,8,1.38,0,0,8,1.38,2,0.35,24,4.15,532,92.04,9,1.56,313,54.15,265,45.85,0,0,0,0,43,7.53,170,29.77,12,2.1,2,0.35,17,13,27,79.41
2012-13,Educational Service District 101,22,Lincoln,22017,Almira School District,97,0,0,0,0,0,0,0,0,1,1.03,6,6.19,88,90.72,2,2.06,53,54.64,44,45.36,0,0,0,0,11,11.58,40,42.11,0,0,0,0,9,15.1,9,81.82
2012-13,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2709,36,1.33,85,3.14,1,0.04,86,3.17,40,1.48,220,8.12,2292,84.61,35,1.29,1397,51.57,1312,48.43,0,0,55,2.05,265,9.88,909,33.91,124,4.63,2,0.07,19,12.7,108,77.14
2012-13,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5487,67,1.22,97,1.77,26,0.47,123,2.24,70,1.28,573,10.44,4425,80.65,229,4.17,2847,51.89,2640,48.11,0,0,191,3.47,586,10.64,1803,32.74,50,0.91,7,0.13,20,11.4,204,76.12
2012-13,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,608,5,0.82,4,0.66,0,0,4,0.66,0,0,34,5.59,531,87.34,34,5.59,306,50.33,302,49.67,0,0,1,0.17,76,12.6,212,35.16,7,1.16,0,0,16,12.6,19,50
2012-13,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,14721,222,1.51,1122,7.62,394,2.68,1516,10.3,969,6.58,3454,23.46,7394,50.23,1166,7.92,7482,50.83,7239,49.17,0,0,1944,13.14,1734,11.72,8210,55.51,258,1.74,0,0,19,13,541,69.27
2012-13,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3889,24,0.62,148,3.81,5,0.13,153,3.93,19,0.49,250,6.43,3171,81.54,272,6.99,1979,50.89,1910,49.11,0,0,21,0.54,495,12.74,265,6.82,162,4.17,0,0,17,14,179,79.91
2012-13,Educational Service District 112,06,Clark,06119,Battle Ground School District,13202,41,0.31,247,1.87,24,0.18,271,2.05,77,0.58,1031,7.81,11135,84.34,647,4.9,6773,51.3,6429,48.7,0,0,695,5.28,1689,12.82,5058,38.39,215,1.63,29,0.22,19,12.2,501,71.47
2012-13,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,19017,42,0.22,5950,31.29,28,0.15,5978,31.44,546,2.87,2135,11.23,8730,45.91,1586,8.34,9968,52.42,9049,47.58,0,0,1917,10.03,1970,10.31,3883,20.33,716,3.75,0,0,15,9.9,900,71.88
