SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,11,6,0,1,0,0,2,10,7,4,0,57.1,42.9,0.0
2010-11,03053,Finley,3,0,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2010-11,27402,Franklin Pierce,27,6,0,1,4,2,0,15,18,10,1,55.6,38.9,5.6
2010-11,32358,Freeman,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20401,Glenwood,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,20404,Goldendale,7,1,0,0,1,0,0,4,4,3,0,75.0,25.0,0.0
2010-11,13301,Grand Coulee Dam,54,14,0,0,2,6,4,21,47,34,1,72.3,25.5,2.1
2010-11,39200,Grandview,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39204,Granger,8,4,0,0,0,0,1,6,6,5,0,83.3,16.7,0.0
2010-11,31332,Granite Falls,7,0,0,0,0,0,1,2,5,3,1,60.0,20.0,20.0
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17401,Highline,48,20,1,1,1,4,10,24,44,22,5,50.0,38.6,11.4
2010-11,06098,Hockinson,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,14028,Hoquiam,21,10,0,0,1,4,2,16,15,8,0,53.3,46.7,0.0
2010-11,10070,Inchelium,14,2,0,0,0,2,1,5,11,8,0,72.7,27.3,0.0
2010-11,17411,Issaquah,7,1,0,0,1,0,0,5,3,2,0,66.7,33.3,0.0
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08458,Kelso,41,10,0,0,1,2,2,21,30,24,1,80.0,16.7,3.3
2010-11,03017,Kennewick,10,2,0,0,2,1,0,4,8,5,0,62.5,37.5,0.0
2010-11,17415,Kent,39,9,2,2,3,1,1,25,23,13,1,56.5,39.1,4.3
2010-11,33212,Kettle Falls,6,1,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2010-11,03052,Kiona-Benton City,2,3,0,0,0,1,1,2,3,1,0,33.3,66.7,0.0
2010-11,19403,Kittitas,1,1,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2010-11,20402,Klickitat,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,06101,La Center,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29311,La Conner,8,3,0,0,2,0,1,3,8,5,0,62.5,37.5,0.0
2010-11,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04129,Lake Chelan,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2010-11,14097,Lake Quinault,10,5,0,0,0,2,2,7,8,4,0,50.0,50.0,0.0
2010-11,31004,Lake Stevens,9,5,0,0,0,0,0,10,4,4,0,100.0,0.0,0.0
2010-11,17414,Lake Washington,19,4,0,0,0,1,0,11,12,10,1,83.3,8.3,8.3
2010-11,31306,Lakewood,6,3,0,0,0,0,1,6,3,2,0,66.7,33.3,0.0
2010-11,32362,Liberty,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2010-11,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08122,Longview,27,13,0,2,3,0,3,15,25,16,1,64.0,32.0,4.0
2010-11,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20406,Lyle,5,0,1,0,1,0,0,2,3,1,0,33.3,66.7,0.0
2010-11,37504,Lynden,7,1,1,0,0,1,0,4,4,2,0,50.0,50.0,0.0
2010-11,39120,Mabton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33207,Mary Walker,4,0,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,31025,Marysville,83,23,0,3,8,10,5,41,65,35,4,53.8,40.0,6.2
2010-11,32354,Mead,9,4,1,0,0,0,0,6,7,6,0,85.7,14.3,0.0
2010-11,32326,Medical Lake,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17400,Mercer Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37505,Meridian,2,1,0,0,0,0,1,2,1,0,0,0.0,100.0,0.0
2010-11,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31103,Monroe,6,6,0,0,0,1,4,1,11,5,1,45.5,45.5,9.1
2010-11,14066,Montesano,7,2,0,1,0,0,0,4,5,3,1,60.0,20.0,20.0
2010-11,21214,Morton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13161,Moses Lake,9,2,1,0,1,0,0,5,6,3,1,50.0,33.3,16.7
2010-11,21206,Mossyrock,3,3,0,0,0,0,0,3,3,2,1,66.7,0.0,33.3
2010-11,39209,Mount Adams,66,10,2,1,1,6,14,31,45,19,2,42.2,53.3,4.4
2010-11,37507,Mount Baker,22,6,0,0,2,1,0,12,16,12,1,75.0,18.8,6.3
2010-11,29320,Mount Vernon,10,2,2,0,1,0,0,6,6,3,0,50.0,50.0,0.0
2010-11,31006,Mukilteo,18,6,0,0,0,1,1,17,7,5,0,71.4,28.6,0.0
2010-11,39003,Naches Valley,4,1,0,0,0,1,2,2,3,0,0,0.0,100.0,0.0
2010-11,21014,Napavine,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,25155,Naselle-Grays River Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,26056,Newport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32325,Nine Mile Falls,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37506,Nooksack Valley,13,4,0,0,0,1,4,5,12,7,0,58.3,41.7,0.0
2010-11,14064,North Beach,9,2,0,1,0,1,0,7,4,2,0,50.0,50.0,0.0
2010-11,11051,North Franklin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18400,North Kitsap,36,11,0,0,0,3,6,7,40,26,5,65.0,22.5,12.5
2010-11,23403,North Mason,7,4,0,0,0,1,0,6,5,4,0,80.0,20.0,0.0
2010-11,25200,North River,0,1,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2010-11,34003,North Thurston,52,16,1,1,2,4,3,32,36,25,0,69.4,30.6,0.0
2010-11,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17417,Northshore,20,8,0,1,0,0,0,13,15,13,1,86.7,6.7,6.7
2010-11,15201,Oak Harbor,8,0,0,0,0,0,1,3,5,4,0,80.0,20.0,0.0
2010-11,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14400,Oakville,15,4,0,0,1,2,1,6,13,8,1,61.5,30.8,7.7
2010-11,25101,Ocean Beach,2,1,0,0,1,0,0,0,3,2,0,66.7,33.3,0.0
2010-11,14172,Ocosta,3,4,0,0,0,0,0,6,1,1,0,100.0,0.0,0.0
2010-11,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34974,Office of the Governor (School for the Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24105,Okanogan,10,13,0,0,0,1,3,14,9,5,0,55.6,44.4,0.0
2010-11,34111,Olympia,10,10,0,0,1,1,1,10,10,5,2,50.0,30.0,20.0
2010-11,24019,Omak,30,16,0,0,0,0,8,19,27,19,0,70.4,29.6,0.0
2010-11,21300,Onalaska,7,3,0,0,0,0,0,4,6,6,0,100.0,0.0,0.0
2010-11,28137,Orcas Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24410,Oroville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27344,Orting,1,3,0,0,0,0,0,1,3,2,1,66.7,0.0,33.3
2010-11,01147,Othello,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38301,Palouse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,11001,Pasco,7,2,0,2,1,1,0,3,6,2,0,33.3,66.7,0.0
2010-11,24122,Pateros,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21301,Pe Ell,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,27401,Peninsula,31,2,0,0,1,2,1,10,23,19,0,82.6,17.4,0.0
2010-11,12110,Pomeroy,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,05121,Port Angeles,40,8,0,2,3,2,5,12,36,22,2,61.1,33.3,5.6
2010-11,16050,Port Townsend,5,4,0,1,0,1,0,0,9,6,1,66.7,22.2,11.1
2010-11,36402,Prescott,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,03116,Prosser,2,0,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,38267,Pullman,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,27003,Puyallup,38,15,0,3,1,6,1,25,28,17,0,60.7,39.3,0.0
2010-11,16048,Quilcene,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2010-11,05402,Quillayute Valley,17,9,0,0,0,1,4,11,15,7,3,46.7,33.3,20.0
2010-11,13144,Quincy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34307,Rainier,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25116,Raymond,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,22009,Reardan-Edwall,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,17403,Renton,14,5,0,0,0,2,0,6,13,11,0,84.6,15.4,0.0
2010-11,10309,Republic,4,1,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,03400,Richland,12,5,0,0,0,2,1,7,10,7,0,70.0,30.0,0.0
