SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,06114,Evergreen (Clark),1358,204,20,6,27,87,54,181,1381,1161,26,84.1,14.0,1.9
2012-13,17210,Federal Way,733,91,9,13,14,53,31,113,711,564,27,79.3,16.9,3.8
2012-13,37502,Ferndale,257,30,2,9,10,20,13,33,254,191,9,75.2,21.3,3.5
2012-13,27417,Fife,170,26,1,2,5,11,0,25,171,150,2,87.7,11.1,1.2
2012-13,03053,Finley,53,9,0,0,0,5,2,3,59,52,0,88.1,11.9,0.0
2012-13,27402,Franklin Pierce,314,54,8,6,9,12,12,59,309,249,13,80.6,15.2,4.2
2012-13,32358,Freeman,75,4,0,0,0,1,2,7,72,69,0,95.8,4.2,0.0
2012-13,38302,Garfield,10,0,0,0,0,0,0,2,8,8,0,100.0,0.0,0.0
2012-13,20401,Glenwood,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,20404,Goldendale,88,30,0,4,1,10,2,16,102,85,0,83.3,16.7,0.0
2012-13,13301,Grand Coulee Dam,21,3,0,0,0,1,0,7,17,16,0,94.1,5.9,0.0
2012-13,39200,Grandview,28,4,0,2,1,0,2,5,27,22,0,81.5,18.5,0.0
2012-13,39204,Granger,2,1,0,1,0,1,0,0,3,1,0,33.3,66.7,0.0
2012-13,31332,Granite Falls,151,27,2,1,3,11,11,23,155,123,4,79.4,18.1,2.6
2012-13,22204,Harrington,5,0,0,0,1,0,0,0,5,4,0,80.0,20.0,0.0
2012-13,39203,Highland,29,4,0,0,0,1,0,6,27,26,0,96.3,3.7,0.0
2012-13,17401,Highline,421,76,6,5,20,31,26,34,463,350,25,75.6,19.0,5.4
2012-13,06098,Hockinson,179,12,0,1,3,4,1,14,177,168,0,94.9,5.1,0.0
2012-13,14028,Hoquiam,114,13,1,4,10,9,7,14,113,80,2,70.8,27.4,1.8
2012-13,10070,Inchelium,3,0,0,1,0,0,0,0,3,2,0,66.7,33.3,0.0
2012-13,17411,Issaquah,825,93,4,1,5,16,9,92,826,781,10,94.6,4.2,1.2
2012-13,11056,Kahlotus,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,08402,Kalama,79,10,0,0,4,4,0,9,80,72,0,90.0,10.0,0.0
2012-13,08458,Kelso,300,55,0,1,15,23,7,42,313,263,4,84.0,14.7,1.3
2012-13,03017,Kennewick,783,149,7,8,19,49,50,91,841,685,23,81.5,15.8,2.7
2012-13,17415,Kent,1004,119,13,15,33,36,21,123,1000,851,31,85.1,11.8,3.1
2012-13,33212,Kettle Falls,74,13,0,0,4,1,5,17,70,57,3,81.4,14.3,4.3
2012-13,03052,Kiona-Benton City,82,18,2,1,6,5,0,11,89,75,0,84.3,15.7,0.0
2012-13,19403,Kittitas,35,6,4,0,3,1,1,5,36,27,0,75.0,25.0,0.0
