SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,24,9,0,1,3,0,0,14,19,14,1,73.7,21.1,5.3
2010-11,03053,Finley,5,4,0,0,0,0,1,2,7,6,0,85.7,14.3,0.0
2010-11,27402,Franklin Pierce,90,27,2,2,6,2,6,52,65,40,7,61.5,27.7,10.8
2010-11,32358,Freeman,18,3,0,0,0,1,0,4,17,16,0,94.1,5.9,0.0
2010-11,38302,Garfield,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20404,Goldendale,10,5,0,1,2,1,1,1,14,8,1,57.1,35.7,7.1
2010-11,13301,Grand Coulee Dam,11,6,0,0,1,0,1,6,11,8,1,72.7,18.2,9.1
2010-11,39200,Grandview,25,6,0,0,0,2,2,17,14,10,0,71.4,28.6,0.0
2010-11,39204,Granger,11,4,1,1,0,0,0,6,9,7,0,77.8,22.2,0.0
2010-11,31332,Granite Falls,33,8,0,0,0,1,0,12,29,24,4,82.8,3.4,13.8
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,13,2,0,0,0,0,0,2,13,10,3,76.9,0.0,23.1
2010-11,17401,Highline,172,51,2,3,9,20,13,93,130,52,31,40.0,36.2,23.8
2010-11,06098,Hockinson,13,9,0,0,1,1,0,12,10,8,0,80.0,20.0,0.0
2010-11,14028,Hoquiam,35,5,0,0,2,5,2,19,21,9,3,42.9,42.9,14.3
2010-11,10070,Inchelium,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2010-11,17411,Issaquah,106,20,2,3,0,3,4,38,88,66,10,75.0,13.6,11.4
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,19,2,0,0,0,1,0,7,14,12,1,85.7,7.1,7.1
2010-11,08458,Kelso,44,23,0,0,1,4,1,29,38,30,2,78.9,15.8,5.3
2010-11,03017,Kennewick,159,31,2,4,10,10,9,67,123,74,14,60.2,28.5,11.4
2010-11,17415,Kent,248,68,3,10,13,28,14,121,195,97,30,49.7,34.9,15.4
2010-11,33212,Kettle Falls,7,4,0,0,0,1,0,3,8,6,1,75.0,12.5,12.5
2010-11,03052,Kiona-Benton City,32,4,2,3,0,3,1,8,28,18,1,64.3,32.1,3.6
2010-11,19403,Kittitas,8,2,0,0,0,2,0,3,7,3,2,42.9,28.6,28.6
2010-11,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06101,La Center,18,4,0,0,0,2,1,8,14,11,0,78.6,21.4,0.0
