SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,39,15,0,0,0,3,2,26,28,23,0,82.1,17.9,0.0
2010-11,03053,Finley,16,8,0,0,0,0,1,5,19,18,0,94.7,5.3,0.0
2010-11,27402,Franklin Pierce,82,34,0,1,3,2,7,69,47,31,3,66.0,27.7,6.4
2010-11,32358,Freeman,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20404,Goldendale,17,3,0,0,1,2,0,7,13,10,0,76.9,23.1,0.0
2010-11,13301,Grand Coulee Dam,3,2,0,0,1,0,0,3,2,1,0,50.0,50.0,0.0
2010-11,39200,Grandview,213,56,0,4,0,23,19,79,190,142,2,74.7,24.2,1.1
2010-11,39204,Granger,105,22,2,7,1,8,8,34,93,65,2,69.9,28.0,2.2
2010-11,31332,Granite Falls,8,6,0,0,0,0,5,4,10,5,0,50.0,50.0,0.0
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,62,9,0,3,0,0,2,10,61,52,4,85.2,8.2,6.6
2010-11,17401,Highline,382,102,13,20,17,43,31,166,318,160,34,50.3,39.0,10.7
2010-11,06098,Hockinson,3,4,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2010-11,14028,Hoquiam,20,8,0,0,1,4,1,15,13,6,1,46.2,46.2,7.7
2010-11,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17411,Issaquah,48,23,0,1,1,2,2,27,44,36,2,81.8,13.6,4.5
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,08458,Kelso,44,8,0,0,0,3,1,20,32,27,1,84.4,12.5,3.1
2010-11,03017,Kennewick,315,122,5,7,9,30,19,159,278,195,13,70.1,25.2,4.7
2010-11,17415,Kent,191,82,5,10,11,14,16,115,158,91,11,57.6,35.4,7.0
2010-11,33212,Kettle Falls,3,4,0,1,1,0,0,2,5,3,0,60.0,40.0,0.0
2010-11,03052,Kiona-Benton City,31,8,2,1,1,2,0,5,34,28,0,82.4,17.6,0.0
2010-11,19403,Kittitas,6,0,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06101,La Center,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,29311,La Conner,5,4,0,0,1,0,0,4,5,4,0,80.0,20.0,0.0
2010-11,38126,LaCrosse,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,04129,Lake Chelan,79,14,12,2,3,3,1,33,60,33,6,55.0,35.0,10.0
2010-11,14097,Lake Quinault,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,31004,Lake Stevens,39,14,0,1,0,4,1,23,30,24,0,80.0,20.0,0.0
2010-11,17414,Lake Washington,112,33,0,1,2,7,8,52,93,75,0,80.6,19.4,0.0
2010-11,31306,Lakewood,16,8,1,0,0,2,1,10,14,10,0,71.4,28.6,0.0
2010-11,32362,Liberty,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,01158,Lind,5,1,0,0,0,0,1,4,2,1,0,50.0,50.0,0.0
2010-11,08122,Longview,65,20,0,4,4,4,9,26,59,35,3,59.3,35.6,5.1
2010-11,28144,Lopez,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20406,Lyle,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,37504,Lynden,38,25,1,0,3,0,3,28,35,24,4,68.6,20.0,11.4
2010-11,39120,Mabton,90,20,1,6,2,4,2,33,77,62,0,80.5,19.5,0.0
2010-11,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04019,Manson,40,8,0,0,0,1,1,12,36,34,0,94.4,5.6,0.0
2010-11,23311,Mary M Knight,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,33207,Mary Walker,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31025,Marysville,92,44,3,0,1,8,15,54,82,53,2,64.6,32.9,2.4
2010-11,32354,Mead,16,13,0,0,0,1,1,12,17,15,0,88.2,11.8,0.0
2010-11,32326,Medical Lake,12,9,0,0,0,0,0,8,13,13,0,100.0,0.0,0.0
2010-11,17400,Mercer Island,5,4,0,0,0,2,0,2,7,5,0,71.4,28.6,0.0
2010-11,37505,Meridian,20,10,0,1,2,6,2,12,18,7,0,38.9,61.1,0.0
2010-11,24350,Methow Valley,3,2,0,0,0,0,1,2,3,2,0,66.7,33.3,0.0
2010-11,31103,Monroe,52,35,0,1,0,3,9,39,48,27,8,56.3,27.1,16.7
2010-11,14066,Montesano,2,2,0,0,0,0,1,3,1,0,0,0.0,100.0,0.0
2010-11,21214,Morton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13161,Moses Lake,181,66,3,7,10,20,19,59,188,127,2,67.6,31.4,1.1
2010-11,21206,Mossyrock,4,1,0,0,0,1,0,2,3,2,0,66.7,33.3,0.0
2010-11,39209,Mount Adams,25,2,0,2,1,0,7,5,22,12,0,54.5,45.5,0.0
2010-11,37507,Mount Baker,6,7,0,2,0,0,1,5,8,5,0,62.5,37.5,0.0
2010-11,29320,Mount Vernon,199,63,2,8,14,17,22,99,163,88,12,54.0,38.7,7.4
2010-11,31006,Mukilteo,147,55,0,5,4,12,6,81,121,89,5,73.6,22.3,4.1
2010-11,39003,Naches Valley,19,6,0,0,0,0,0,11,14,14,0,100.0,0.0,0.0
2010-11,21014,Napavine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25155,Naselle-Grays River Valley,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,26056,Newport,3,0,0,1,0,0,1,1,2,0,0,0.0,100.0,0.0
2010-11,32325,Nine Mile Falls,5,3,0,0,0,1,0,5,3,2,0,66.7,33.3,0.0
2010-11,37506,Nooksack Valley,36,15,3,2,1,2,2,20,31,18,3,58.1,32.3,9.7
2010-11,14064,North Beach,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2010-11,11051,North Franklin,100,23,1,0,4,5,6,34,89,72,1,80.9,18.0,1.1
2010-11,18400,North Kitsap,32,11,0,0,1,6,1,7,36,25,3,69.4,22.2,8.3
2010-11,23403,North Mason,14,4,2,0,0,1,0,7,11,8,0,72.7,27.3,0.0
2010-11,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34003,North Thurston,103,39,2,4,6,5,14,48,94,63,0,67.0,33.0,0.0
2010-11,33211,Northport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17417,Northshore,113,34,0,2,3,12,4,57,90,66,3,73.3,23.3,3.3
2010-11,15201,Oak Harbor,27,16,0,0,0,1,1,20,23,20,1,87.0,8.7,4.3
2010-11,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25101,Ocean Beach,5,6,0,0,1,0,1,4,7,5,0,71.4,28.6,0.0
2010-11,14172,Ocosta,4,1,0,0,0,1,0,4,1,0,0,0.0,100.0,0.0
2010-11,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34974,Office of the Governor (School for the Blind),1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2010-11,24105,Okanogan,18,5,0,0,0,0,1,11,12,11,0,91.7,8.3,0.0
2010-11,34111,Olympia,52,18,0,1,0,1,4,28,42,35,1,83.3,14.3,2.4
2010-11,24019,Omak,13,6,0,0,0,1,1,8,11,9,0,81.8,18.2,0.0
2010-11,21300,Onalaska,5,4,0,0,2,0,0,6,3,1,0,33.3,66.7,0.0
2010-11,28137,Orcas Island,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,24410,Oroville,12,7,0,0,0,2,0,8,11,8,1,72.7,18.2,9.1
2010-11,27344,Orting,10,4,0,0,0,0,0,7,7,7,0,100.0,0.0,0.0
2010-11,01147,Othello,223,33,5,4,12,11,13,54,202,154,3,76.2,22.3,1.5
2010-11,38301,Palouse,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,11001,Pasco,679,127,16,28,48,71,38,185,621,393,27,63.3,32.4,4.3
2010-11,24122,Pateros,12,0,0,0,0,0,0,2,10,10,0,100.0,0.0,0.0
2010-11,21301,Pe Ell,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,27401,Peninsula,33,13,1,1,1,0,2,16,30,23,2,76.7,16.7,6.7
2010-11,12110,Pomeroy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05121,Port Angeles,15,8,0,0,0,2,3,8,15,10,0,66.7,33.3,0.0
2010-11,16050,Port Townsend,5,4,0,0,0,0,0,5,4,4,0,100.0,0.0,0.0
2010-11,36402,Prescott,8,4,0,0,0,0,0,6,6,6,0,100.0,0.0,0.0
2010-11,03116,Prosser,121,24,2,0,4,6,6,51,94,69,7,73.4,19.1,7.4
2010-11,38267,Pullman,6,0,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,27003,Puyallup,109,54,0,6,3,5,6,56,107,85,2,79.4,18.7,1.9
2010-11,16048,Quilcene,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05402,Quillayute Valley,24,6,3,0,1,1,1,10,20,13,1,65.0,30.0,5.0
2010-11,13144,Quincy,127,27,3,8,9,7,10,26,128,86,5,67.2,28.9,3.9
2010-11,34307,Rainier,6,0,0,0,0,0,0,1,5,5,0,100.0,0.0,0.0
2010-11,25116,Raymond,7,2,0,0,0,1,1,2,7,5,0,71.4,28.6,0.0
2010-11,22009,Reardan-Edwall,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17403,Renton,147,65,1,7,6,15,11,70,142,85,17,59.9,28.2,12.0
2010-11,10309,Republic,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2010-11,03400,Richland,92,46,0,3,2,3,1,67,71,57,5,80.3,12.7,7.0
2010-11,06122,Ridgefield,10,5,0,0,0,1,2,9,6,3,0,50.0,50.0,0.0
2010-11,01160,Ritzville,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,32416,Riverside,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,17407,Riverview,17,4,0,0,1,0,2,9,12,7,2,58.3,25.0,16.7
2010-11,34401,Rochester,27,5,0,1,1,3,2,13,19,12,0,63.2,36.8,0.0
2010-11,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13160,Royal,74,10,0,1,3,4,1,36,48,38,1,79.2,18.8,2.1
2010-11,28149,San Juan Island,6,1,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2010-11,17001,Seattle,417,147,11,14,22,28,31,224,340,214,20,62.9,31.2,5.9
2010-11,29101,Sedro-Woolley,29,8,0,0,0,0,2,18,19,17,0,89.5,10.5,0.0
2010-11,39119,Selah,44,36,1,2,2,1,2,42,38,26,4,68.4,21.1,10.5
2010-11,26070,Selkirk,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05323,Sequim,17,7,1,0,2,1,1,8,16,11,0,68.8,31.3,0.0
2010-11,23309,Shelton,32,9,1,0,2,3,2,13,28,15,5,53.6,28.6,17.9
2010-11,17412,Shoreline,47,16,0,1,2,3,3,17,46,35,2,76.1,19.6,4.3
2010-11,17404,Skykomish,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31201,Snohomish,42,16,0,2,0,2,4,18,40,26,6,65.0,20.0,15.0
2010-11,17410,Snoqualmie Valley,17,3,0,1,0,2,0,6,14,10,1,71.4,21.4,7.1
2010-11,13156,Soap Lake,11,5,0,0,0,0,0,12,4,4,0,100.0,0.0,0.0
2010-11,25118,South Bend,13,0,0,1,0,0,0,2,11,10,0,90.9,9.1,0.0
2010-11,18402,South Kitsap,43,6,0,1,2,0,1,11,38,34,0,89.5,10.5,0.0
2010-11,15206,South Whidbey,4,9,0,1,1,1,1,4,9,5,0,55.6,44.4,0.0
2010-11,32081,Spokane,106,30,3,1,7,8,2,50,86,64,1,74.4,24.4,1.2
2010-11,22008,Sprague,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,38322,St. John,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31401,Stanwood-Camano,23,7,1,1,1,0,1,11,19,15,0,78.9,21.1,0.0
2010-11,27001,Steilacoom Historical,16,13,1,1,3,1,0,8,21,15,0,71.4,28.6,0.0
2010-11,30303,Stevenson-Carson,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,31311,Sultan,15,4,0,0,0,2,1,8,11,8,0,72.7,27.3,0.0
2010-11,27320,Sumner,46,17,0,0,3,1,2,22,41,35,0,85.4,14.6,0.0
2010-11,39201,Sunnyside,394,69,21,13,18,29,43,85,378,232,22,61.4,32.8,5.8
2010-11,27010,Tacoma,243,101,7,12,13,31,21,149,195,88,23,45.1,43.1,11.8
2010-11,14077,Taholah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17409,Tahoma,29,11,0,3,2,4,1,12,28,17,1,60.7,35.7,3.6
2010-11,38265,Tekoa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34402,Tenino,5,4,0,0,0,0,0,5,4,4,0,100.0,0.0,0.0
