SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,139,48,1,3,3,7,8,58,129,106,1,82.2,17.1,0.8
2010-11,03053,Finley,45,12,0,0,0,3,1,16,41,36,1,87.8,9.8,2.4
2010-11,27402,Franklin Pierce,338,131,3,3,14,22,25,222,247,165,15,66.8,27.1,6.1
2010-11,32358,Freeman,57,13,0,0,0,2,1,14,56,53,0,94.6,5.4,0.0
2010-11,38302,Garfield,8,2,0,0,0,0,0,3,7,7,0,100.0,0.0,0.0
2010-11,20401,Glenwood,2,2,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,20404,Goldendale,52,15,0,1,2,3,1,29,38,30,1,78.9,18.4,2.6
2010-11,13301,Grand Coulee Dam,46,15,0,1,2,6,2,25,36,24,1,66.7,30.6,2.8
2010-11,39200,Grandview,125,41,0,2,1,16,11,55,111,80,1,72.1,27.0,0.9
2010-11,39204,Granger,69,16,2,5,0,3,8,29,56,36,2,64.3,32.1,3.6
2010-11,31332,Granite Falls,118,42,0,2,4,3,10,48,112,83,10,74.1,17.0,8.9
2010-11,22204,Harrington,5,1,0,0,0,0,0,5,1,1,0,100.0,0.0,0.0
2010-11,39203,Highland,56,7,0,2,0,0,0,13,50,46,2,92.0,4.0,4.0
2010-11,17401,Highline,813,239,12,21,37,74,75,311,741,464,58,62.6,29.6,7.8
2010-11,06098,Hockinson,98,17,0,0,1,1,1,36,79,76,0,96.2,3.8,0.0
2010-11,14028,Hoquiam,126,28,0,1,4,22,8,62,92,55,2,59.8,38.0,2.2
2010-11,10070,Inchelium,10,1,0,0,0,2,0,3,8,6,0,75.0,25.0,0.0
2010-11,17411,Issaquah,704,99,6,2,6,10,9,137,666,628,5,94.3,5.0,0.8
2010-11,11056,Kahlotus,3,2,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,08402,Kalama,47,5,0,1,0,2,0,17,35,31,1,88.6,8.6,2.9
2010-11,08458,Kelso,260,61,0,4,4,18,4,110,211,178,3,84.4,14.2,1.4
2010-11,03017,Kennewick,681,187,5,10,24,48,38,248,620,473,22,76.3,20.2,3.5
2010-11,17415,Kent,1284,325,23,31,50,108,50,513,1096,798,36,72.8,23.9,3.3
2010-11,33212,Kettle Falls,43,15,0,1,1,1,0,18,40,36,1,90.0,7.5,2.5
2010-11,03052,Kiona-Benton City,83,21,0,2,1,4,1,31,73,64,1,87.7,11.0,1.4
2010-11,19403,Kittitas,30,8,0,2,1,1,0,9,29,24,1,82.8,13.8,3.4
2010-11,20402,Klickitat,8,0,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2010-11,06101,La Center,69,17,0,2,2,4,2,22,64,54,0,84.4,15.6,0.0
2010-11,29311,La Conner,31,8,0,0,2,0,2,13,26,22,0,84.6,15.4,0.0
2010-11,38126,LaCrosse,5,2,0,0,0,0,0,5,2,2,0,100.0,0.0,0.0
2010-11,04129,Lake Chelan,85,19,10,0,1,2,1,38,66,47,5,71.2,21.2,7.6
2010-11,14097,Lake Quinault,13,7,0,0,0,3,0,9,11,8,0,72.7,27.3,0.0
2010-11,31004,Lake Stevens,334,76,2,4,5,23,6,126,284,242,2,85.2,14.1,0.7
2010-11,17414,Lake Washington,960,171,3,6,8,25,15,303,828,763,8,92.1,6.9,1.0
2010-11,31306,Lakewood,137,39,3,1,2,10,4,63,113,93,0,82.3,17.7,0.0
2010-11,32362,Liberty,29,8,0,0,0,2,3,12,25,20,0,80.0,20.0,0.0
2010-11,01158,Lind,16,7,0,0,1,1,1,14,9,6,0,66.7,33.3,0.0
2010-11,08122,Longview,341,76,0,10,19,19,23,97,320,232,17,72.5,22.2,5.3
2010-11,28144,Lopez,15,3,0,0,0,1,0,9,9,7,1,77.8,11.1,11.1
2010-11,20406,Lyle,10,9,0,0,1,0,0,11,8,7,0,87.5,12.5,0.0
2010-11,37504,Lynden,112,37,1,1,3,7,4,39,110,89,5,80.9,14.5,4.5
2010-11,39120,Mabton,34,9,0,1,0,5,1,11,32,25,0,78.1,21.9,0.0
2010-11,09207,Mansfield,2,2,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,04019,Manson,30,7,0,0,0,0,1,10,27,26,0,96.3,3.7,0.0
2010-11,23311,Mary M Knight,8,4,0,0,1,1,0,5,7,5,0,71.4,28.6,0.0
2010-11,33207,Mary Walker,23,10,2,1,2,1,0,9,24,17,1,70.8,25.0,4.2
2010-11,31025,Marysville,553,196,3,8,28,45,35,293,456,321,16,70.4,26.1,3.5
2010-11,32354,Mead,413,81,2,1,12,12,9,114,380,335,9,88.2,9.5,2.4
2010-11,32326,Medical Lake,96,40,0,0,1,3,1,46,90,85,0,94.4,5.6,0.0
2010-11,17400,Mercer Island,183,30,0,1,1,4,0,48,165,158,1,95.8,3.6,0.6
2010-11,37505,Meridian,63,21,0,1,3,6,4,36,48,33,1,68.8,29.2,2.1
2010-11,24350,Methow Valley,25,6,0,0,0,2,1,9,22,18,1,81.8,13.6,4.5
2010-11,31103,Monroe,249,188,3,1,2,36,59,127,310,160,49,51.6,32.6,15.8
2010-11,14066,Montesano,65,16,0,1,0,3,2,26,55,48,1,87.3,10.9,1.8
2010-11,21214,Morton,18,8,0,1,2,2,0,13,13,8,0,61.5,38.5,0.0
2010-11,13161,Moses Lake,262,106,2,7,15,28,25,110,258,170,11,65.9,29.8,4.3
2010-11,21206,Mossyrock,38,11,0,0,1,1,0,18,31,28,1,90.3,6.5,3.2
2010-11,39209,Mount Adams,57,7,2,2,1,0,13,23,41,19,4,46.3,43.9,9.8
2010-11,37507,Mount Baker,104,26,1,1,6,7,2,35,95,72,6,75.8,17.9,6.3
2010-11,29320,Mount Vernon,243,119,3,9,14,20,25,156,206,125,10,60.7,34.5,4.9
2010-11,31006,Mukilteo,663,149,2,4,8,24,13,258,554,480,23,86.6,9.2,4.2
2010-11,39003,Naches Valley,71,22,0,0,0,4,6,23,70,59,1,84.3,14.3,1.4
2010-11,21014,Napavine,29,10,0,0,0,1,0,19,20,19,0,95.0,5.0,0.0
2010-11,25155,Naselle-Grays River Valley,18,7,0,0,0,0,0,6,19,19,0,100.0,0.0,0.0
2010-11,26056,Newport,54,16,0,2,1,3,5,21,49,34,4,69.4,22.4,8.2
2010-11,32325,Nine Mile Falls,93,17,0,0,2,2,5,28,82,72,1,87.8,11.0,1.2
2010-11,37506,Nooksack Valley,77,25,1,1,4,4,6,29,73,55,2,75.3,21.9,2.7
2010-11,14064,North Beach,35,14,0,0,3,6,2,23,26,15,0,57.7,42.3,0.0
2010-11,11051,North Franklin,88,25,1,0,3,5,6,28,85,69,1,81.2,17.6,1.2
2010-11,18400,North Kitsap,311,67,1,2,8,24,21,80,298,227,15,76.2,18.8,5.0
2010-11,23403,North Mason,122,24,4,5,2,2,4,39,107,85,5,79.4,15.9,4.7
2010-11,25200,North River,5,1,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2010-11,34003,North Thurston,588,192,4,11,17,40,32,279,501,396,1,79.0,20.8,0.2
2010-11,33211,Northport,9,13,0,2,0,2,0,9,13,8,1,61.5,30.8,7.7
2010-11,17417,Northshore,897,181,2,7,11,40,6,271,807,730,11,90.5,8.2,1.4
2010-11,15201,Oak Harbor,238,79,5,0,4,7,15,105,212,169,12,79.7,14.6,5.7
2010-11,38324,Oakesdale,4,1,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2010-11,14400,Oakville,17,8,0,0,0,2,2,7,18,12,2,66.7,22.2,11.1
2010-11,25101,Ocean Beach,56,22,1,1,2,4,3,31,47,35,1,74.5,23.4,2.1
2010-11,14172,Ocosta,22,11,0,0,2,1,0,14,19,14,2,73.7,15.8,10.5
2010-11,22105,Odessa,10,3,0,0,0,0,0,6,7,7,0,100.0,0.0,0.0
2010-11,34974,Office of the Governor (School for the Blind),5,1,0,0,0,0,0,3,3,0,3,0.0,0.0,100.0
2010-11,24105,Okanogan,44,22,0,1,0,2,4,32,34,25,2,73.5,20.6,5.9
2010-11,34111,Olympia,440,107,0,2,4,25,17,152,395,341,6,86.3,12.2,1.5
2010-11,24019,Omak,64,30,0,0,1,4,9,23,71,56,1,78.9,19.7,1.4
2010-11,21300,Onalaska,37,25,1,0,2,2,2,30,32,25,0,78.1,21.9,0.0
2010-11,28137,Orcas Island,23,6,0,0,0,6,0,8,21,13,2,61.9,28.6,9.5
2010-11,24410,Oroville,24,18,0,0,0,3,0,22,20,16,1,80.0,15.0,5.0
2010-11,27344,Orting,112,38,1,1,1,1,1,42,108,101,2,93.5,4.6,1.9
2010-11,01147,Othello,144,22,5,5,9,6,6,37,129,96,2,74.4,24.0,1.6
2010-11,38301,Palouse,11,3,0,0,0,0,0,2,12,11,1,91.7,0.0,8.3
2010-11,11001,Pasco,491,107,6,15,33,49,28,165,433,281,21,64.9,30.3,4.8
2010-11,24122,Pateros,17,2,0,0,0,1,0,4,15,14,0,93.3,6.7,0.0
2010-11,21301,Pe Ell,17,0,0,0,0,1,0,3,14,13,0,92.9,7.1,0.0
2010-11,27401,Peninsula,461,92,2,3,10,18,19,134,419,354,13,84.5,12.4,3.1
2010-11,12110,Pomeroy,23,8,0,0,0,0,0,8,23,23,0,100.0,0.0,0.0
2010-11,05121,Port Angeles,207,53,4,7,7,25,25,62,198,117,13,59.1,34.3,6.6
2010-11,16050,Port Townsend,70,32,0,2,0,4,3,34,68,57,2,83.8,13.2,2.9
2010-11,36402,Prescott,5,7,0,0,0,0,0,8,4,4,0,100.0,0.0,0.0
2010-11,03116,Prosser,136,23,0,0,3,8,8,47,112,88,5,78.6,17.0,4.5
2010-11,38267,Pullman,86,30,3,1,3,5,4,29,87,69,2,79.3,18.4,2.3
2010-11,27003,Puyallup,962,250,1,14,43,71,21,333,879,712,17,81.0,17.1,1.9
2010-11,16048,Quilcene,16,1,0,0,0,1,0,3,14,13,0,92.9,7.1,0.0
2010-11,05402,Quillayute Valley,51,16,1,0,1,3,3,22,45,31,6,68.9,17.8,13.3
2010-11,13144,Quincy,97,18,2,4,7,8,6,25,90,61,2,67.8,30.0,2.2
2010-11,34307,Rainier,36,23,0,0,0,3,1,33,26,22,0,84.6,15.4,0.0
2010-11,25116,Raymond,16,6,0,0,1,0,1,10,12,10,0,83.3,16.7,0.0
2010-11,22009,Reardan-Edwall,35,15,1,0,0,0,1,22,28,26,0,92.9,7.1,0.0
2010-11,17403,Renton,589,186,6,14,20,29,26,253,522,397,30,76.1,18.2,5.7
2010-11,10309,Republic,20,9,0,0,0,0,3,11,18,14,1,77.8,16.7,5.6
2010-11,03400,Richland,488,136,1,3,10,34,12,186,438,371,7,84.7,13.7,1.6
2010-11,06122,Ridgefield,100,30,2,2,0,1,5,53,77,65,2,84.4,13.0,2.6
2010-11,01160,Ritzville,14,3,0,0,0,2,2,6,11,7,0,63.6,36.4,0.0
2010-11,32416,Riverside,96,36,0,1,0,2,1,46,86,79,3,91.9,4.7,3.5
