SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,27417,Fife,17,15,0,0,0,0,3,14,18,15,0,83.3,16.7,0.0
2010-11,03053,Finley,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,27402,Franklin Pierce,76,29,0,0,0,0,6,46,59,50,3,84.7,10.2,5.1
2010-11,32358,Freeman,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2010-11,38302,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20401,Glenwood,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,20404,Goldendale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13301,Grand Coulee Dam,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39200,Grandview,3,4,0,0,0,0,0,6,1,1,0,100.0,0.0,0.0
2010-11,39204,Granger,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31332,Granite Falls,4,1,0,0,0,0,0,1,4,3,1,75.0,0.0,25.0
2010-11,22204,Harrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39203,Highland,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,17401,Highline,307,78,5,3,3,15,24,95,290,221,19,76.2,17.2,6.6
2010-11,06098,Hockinson,4,3,0,0,0,0,0,3,4,4,0,100.0,0.0,0.0
2010-11,14028,Hoquiam,7,1,0,0,0,0,0,4,4,4,0,100.0,0.0,0.0
2010-11,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17411,Issaquah,205,28,3,1,0,2,1,37,196,188,1,95.9,3.6,0.5
2010-11,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08402,Kalama,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08458,Kelso,4,1,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,03017,Kennewick,38,10,0,0,0,0,2,12,36,32,2,88.9,5.6,5.6
2010-11,17415,Kent,380,99,6,6,13,15,16,100,379,313,10,82.6,14.8,2.6
2010-11,33212,Kettle Falls,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,03052,Kiona-Benton City,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,19403,Kittitas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20402,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06101,La Center,1,2,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,29311,La Conner,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04129,Lake Chelan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14097,Lake Quinault,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31004,Lake Stevens,22,5,0,0,0,2,0,11,16,14,0,87.5,12.5,0.0
2010-11,17414,Lake Washington,231,47,0,2,1,4,2,52,226,215,2,95.1,4.0,0.9
2010-11,31306,Lakewood,8,6,0,0,1,0,0,8,6,5,0,83.3,16.7,0.0
2010-11,32362,Liberty,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,01158,Lind,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08122,Longview,16,3,0,0,1,0,0,5,14,11,2,78.6,7.1,14.3
2010-11,28144,Lopez,2,0,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,20406,Lyle,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37504,Lynden,7,4,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2010-11,39120,Mabton,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,09207,Mansfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04019,Manson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,23311,Mary M Knight,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33207,Mary Walker,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31025,Marysville,72,21,1,0,1,3,4,18,75,64,2,85.3,12.0,2.7
2010-11,32354,Mead,16,4,0,0,1,0,0,2,18,17,0,94.4,5.6,0.0
2010-11,32326,Medical Lake,4,4,0,0,0,0,0,3,5,5,0,100.0,0.0,0.0
2010-11,17400,Mercer Island,56,9,0,1,0,0,0,9,56,55,0,98.2,1.8,0.0
2010-11,37505,Meridian,4,3,0,1,0,0,1,4,3,1,0,33.3,66.7,0.0
2010-11,24350,Methow Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31103,Monroe,19,30,1,0,1,2,15,5,44,17,8,38.6,43.2,18.2
2010-11,14066,Montesano,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,21214,Morton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,13161,Moses Lake,8,3,0,0,0,0,0,5,6,5,1,83.3,0.0,16.7
2010-11,21206,Mossyrock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,39209,Mount Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37507,Mount Baker,2,2,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,29320,Mount Vernon,6,6,0,1,0,0,1,4,8,5,1,62.5,25.0,12.5
2010-11,31006,Mukilteo,182,45,0,0,3,6,3,44,183,170,1,92.9,6.6,0.5
2010-11,39003,Naches Valley,2,1,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2010-11,21014,Napavine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25155,Naselle-Grays River Valley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,26056,Newport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32325,Nine Mile Falls,1,1,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,37506,Nooksack Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14064,North Beach,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,11051,North Franklin,1,3,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2010-11,18400,North Kitsap,18,14,0,0,0,1,0,11,21,19,1,90.5,4.8,4.8
2010-11,23403,North Mason,3,2,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2010-11,25200,North River,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34003,North Thurston,151,40,0,1,0,9,4,47,144,129,1,89.6,9.7,0.7
2010-11,33211,Northport,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,17417,Northshore,199,42,0,2,0,9,1,50,191,177,2,92.7,6.3,1.0
2010-11,15201,Oak Harbor,81,17,2,0,1,1,8,25,73,57,4,78.1,16.4,5.5
2010-11,38324,Oakesdale,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,14400,Oakville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,25101,Ocean Beach,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,14172,Ocosta,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22105,Odessa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34974,Office of the Governor (School for the Blind),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24105,Okanogan,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,34111,Olympia,79,17,0,0,1,4,0,24,72,66,1,91.7,6.9,1.4
2010-11,24019,Omak,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,21300,Onalaska,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,28137,Orcas Island,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,24410,Oroville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27344,Orting,3,3,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
2010-11,01147,Othello,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,38301,Palouse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,11001,Pasco,10,3,0,0,0,0,0,3,10,10,0,100.0,0.0,0.0
2010-11,24122,Pateros,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,21301,Pe Ell,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27401,Peninsula,35,4,0,0,0,0,1,9,30,29,0,96.7,3.3,0.0
2010-11,12110,Pomeroy,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,05121,Port Angeles,8,1,0,0,0,0,0,3,6,6,0,100.0,0.0,0.0
2010-11,16050,Port Townsend,7,0,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2010-11,36402,Prescott,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,03116,Prosser,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38267,Pullman,21,8,3,0,0,0,0,7,22,19,0,86.4,13.6,0.0
2010-11,27003,Puyallup,108,45,0,0,2,5,4,37,116,103,2,88.8,9.5,1.7
2010-11,16048,Quilcene,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,05402,Quillayute Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13144,Quincy,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34307,Rainier,3,3,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,25116,Raymond,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,22009,Reardan-Edwall,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17403,Renton,246,63,2,4,3,8,7,58,251,217,10,86.5,9.6,4.0
2010-11,10309,Republic,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,03400,Richland,46,16,0,0,0,0,1,15,47,45,1,95.7,2.1,2.1
2010-11,06122,Ridgefield,7,2,0,0,0,1,0,3,6,5,0,83.3,16.7,0.0
2010-11,01160,Ritzville,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,32416,Riverside,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17407,Riverview,11,4,0,0,0,0,0,3,12,12,0,100.0,0.0,0.0
2010-11,34401,Rochester,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13160,Royal,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
