SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,34033,Tumwater,15,7,0,0,0,3,1,6,16,12,0,75.0,25.0,0.0
2010-11,27083,University Place,80,18,0,4,1,0,1,25,73,67,0,91.8,8.2,0.0
2010-11,06037,Vancouver,81,32,0,3,1,5,8,31,82,63,2,76.8,20.7,2.4
2010-11,17402,Vashon Island,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,34975,WA State Center for Childhood Deafness & Hearing Loss,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,35200,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13073,Wahluke,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,36401,Waitsburg,1,2,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,36140,Walla Walla,8,5,0,0,0,0,0,5,8,8,0,100.0,0.0,0.0
2010-11,39207,Wapato,5,2,0,1,0,0,0,1,6,5,0,83.3,16.7,0.0
2010-11,13146,Warden,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06112,Washougal,6,7,0,0,0,0,0,5,8,8,0,100.0,0.0,0.0
2010-11,01109,Washtucna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09209,Waterville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33049,Wellpinit,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04246,Wenatchee,13,3,0,0,1,1,0,5,11,9,0,81.8,18.2,0.0
2010-11,32363,West Valley (Spokane),5,2,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2010-11,39208,West Valley (Yakima),13,2,1,0,0,0,1,3,12,10,0,83.3,16.7,0.0
