SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,37502,Ferndale,59,6,2,1,4,8,6,7,58,33,4,56.9,36.2,6.9
2013-14,27417,Fife,37,7,0,0,2,1,2,6,38,32,1,84.2,13.2,2.6
2013-14,03053,Finley,13,1,0,1,0,2,0,0,14,11,0,78.6,21.4,0.0
2013-14,27402,Franklin Pierce,88,21,0,1,4,6,4,17,92,75,2,81.5,16.3,2.2
2013-14,32358,Freeman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,38302,Garfield,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20401,Glenwood,,,,,,,,,,,,n/a,n/a,n/a
2013-14,20404,Goldendale,5,6,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2013-14,13301,Grand Coulee Dam,3,2,1,0,0,0,1,1,4,2,0,50.0,50.0,0.0
2013-14,39200,Grandview,184,23,3,0,3,11,17,24,183,134,15,73.2,18.6,8.2
2013-14,39204,Granger,86,9,0,2,3,11,1,4,91,72,2,79.1,18.7,2.2
2013-14,31332,Granite Falls,20,3,0,0,2,1,1,4,19,10,5,52.6,21.1,26.3
2013-14,22204,Harrington,,,,,,,,,,,,n/a,n/a,n/a
2013-14,39203,Highland,55,2,0,1,2,2,1,2,55,49,0,89.1,10.9,0.0
2013-14,17401,Highline,450,79,25,9,23,44,48,60,469,262,58,55.9,31.8,12.4
2013-14,06098,Hockinson,7,0,0,0,0,0,0,0,7,7,0,100.0,0.0,0.0
2013-14,14028,Hoquiam,15,3,0,0,0,1,1,6,12,9,1,75.0,16.7,8.3
2013-14,10070,Inchelium,,,,,,,,,,,,n/a,n/a,n/a
2013-14,17411,Issaquah,72,14,0,0,2,4,2,13,73,63,2,86.3,11.0,2.7
2013-14,11056,Kahlotus,,,,,,,,,,,,n/a,n/a,n/a
2013-14,08402,Kalama,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,08458,Kelso,45,14,0,0,1,3,2,15,44,37,1,84.1,13.6,2.3
2013-14,03017,Kennewick,310,57,5,5,11,25,17,51,316,244,9,77.2,19.9,2.8
2013-14,17415,Kent,211,57,7,5,6,12,10,52,216,168,8,77.8,18.5,3.7
2013-14,33212,Kettle Falls,3,2,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2013-14,03052,Kiona-Benton City,37,3,0,1,0,4,1,3,37,31,0,83.8,16.2,0.0
2013-14,19403,Kittitas,12,1,0,0,1,1,0,1,12,10,0,83.3,16.7,0.0
2013-14,20402,Klickitat,,,,,,,,,,,,n/a,n/a,n/a
2013-14,06101,La Center,6,1,0,1,0,0,0,1,6,5,0,83.3,16.7,0.0
2013-14,29311,La Conner,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2013-14,38126,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,04129,Lake Chelan,95,20,7,1,4,3,2,43,72,53,2,73.6,23.6,2.8
