SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,06114,Evergreen (Clark),245,43,1,0,10,19,16,42,246,177,23,72.0,18.7,9.3
2012-13,17210,Federal Way,199,23,2,7,6,19,18,39,183,111,20,60.7,28.4,10.9
2012-13,37502,Ferndale,48,6,1,2,4,11,3,5,49,25,3,51.0,42.9,6.1
2012-13,27417,Fife,23,6,0,0,2,1,0,6,23,16,4,69.6,13.0,17.4
2012-13,03053,Finley,16,1,0,0,1,0,1,0,17,15,0,88.2,11.8,0.0
2012-13,27402,Franklin Pierce,59,18,2,0,2,2,6,20,57,33,12,57.9,21.1,21.1
2012-13,32358,Freeman,7,0,0,0,0,0,1,1,6,5,0,83.3,16.7,0.0
2012-13,38302,Garfield,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,20401,Glenwood,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,20404,Goldendale,10,4,0,0,1,2,1,2,12,8,0,66.7,33.3,0.0
2012-13,13301,Grand Coulee Dam,11,2,0,0,1,2,2,1,12,7,0,58.3,41.7,0.0
2012-13,39200,Grandview,29,7,0,2,0,2,5,10,26,15,2,57.7,34.6,7.7
2012-13,39204,Granger,11,1,0,0,1,0,0,0,12,11,0,91.7,8.3,0.0
2012-13,31332,Granite Falls,26,2,0,1,0,2,3,5,23,13,4,56.5,26.1,17.4
2012-13,22204,Harrington,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,39203,Highland,14,1,0,0,0,2,1,2,13,9,1,69.2,23.1,7.7
2012-13,17401,Highline,182,20,5,5,12,22,18,13,189,82,45,43.4,32.8,23.8
2012-13,06098,Hockinson,16,3,0,1,0,0,1,1,18,16,0,88.9,11.1,0.0
2012-13,14028,Hoquiam,16,1,0,0,2,1,1,4,13,9,0,69.2,30.8,0.0
2012-13,10070,Inchelium,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,17411,Issaquah,104,10,1,0,2,2,1,10,104,89,9,85.6,5.8,8.7
2012-13,11056,Kahlotus,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,08402,Kalama,12,3,0,0,1,1,0,2,13,11,0,84.6,15.4,0.0
2012-13,08458,Kelso,42,13,0,1,1,7,0,7,48,36,3,75.0,18.8,6.3
2012-13,03017,Kennewick,105,16,0,3,6,9,8,8,113,79,8,69.9,23.0,7.1
2012-13,17415,Kent,213,28,6,6,15,12,7,36,205,125,34,61.0,22.4,16.6
2012-13,33212,Kettle Falls,15,5,0,0,2,0,0,5,15,12,1,80.0,13.3,6.7
2012-13,03052,Kiona-Benton City,15,4,0,0,3,1,0,2,17,13,0,76.5,23.5,0.0
2012-13,19403,Kittitas,3,0,0,0,1,0,0,0,3,2,0,66.7,33.3,0.0
2012-13,20402,Klickitat,1,2,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2012-13,06101,La Center,14,0,0,0,2,1,0,1,13,9,1,69.2,23.1,7.7
2012-13,29311,La Conner,5,1,0,1,0,0,0,0,6,5,0,83.3,16.7,0.0
2012-13,38126,LaCrosse,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2012-13,04129,Lake Chelan,13,2,0,0,0,2,5,1,14,7,0,50.0,50.0,0.0
2012-13,14097,Lake Quinault,5,0,0,0,1,0,1,0,5,2,1,40.0,40.0,20.0
2012-13,31004,Lake Stevens,60,5,2,0,4,4,7,8,57,37,3,64.9,29.8,5.3
2012-13,17937,Lake Washington Institute of Technology,17,0,0,0,0,0,1,0,17,3,13,17.6,5.9,76.5
2012-13,17414,Lake Washington,216,22,0,3,3,17,5,30,208,162,18,77.9,13.5,8.7
2012-13,31306,Lakewood,18,3,0,0,0,3,1,5,16,11,1,68.8,25.0,6.3
2012-13,32362,Liberty,10,0,0,0,1,0,0,1,9,8,0,88.9,11.1,0.0
2012-13,01158,Lind,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,08122,Longview,65,12,2,1,6,5,6,18,59,28,11,47.5,33.9,18.6
2012-13,28144,Lopez,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,20406,Lyle,7,3,0,1,0,0,0,5,5,4,0,80.0,20.0,0.0
2012-13,37504,Lynden,26,1,0,0,2,2,1,3,24,17,2,70.8,20.8,8.3
2012-13,39120,Mabton,8,0,0,0,0,1,0,0,8,7,0,87.5,12.5,0.0
2012-13,09207,Mansfield,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,04019,Manson,4,0,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2012-13,23311,Mary M Knight,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,33207,Mary Walker,6,1,0,0,1,1,0,0,7,5,0,71.4,28.6,0.0
2012-13,31025,Marysville,107,10,3,3,6,7,9,20,97,55,14,56.7,28.9,14.4
2012-13,32354,Mead,62,9,0,2,1,3,3,11,60,43,8,71.7,15.0,13.3
2012-13,32326,Medical Lake,17,6,0,0,0,1,4,3,20,14,1,70.0,25.0,5.0
2012-13,17400,Mercer Island,35,8,0,0,0,1,1,3,40,34,4,85.0,5.0,10.0
2012-13,37505,Meridian,18,1,0,0,1,1,2,0,19,13,2,68.4,21.1,10.5
2012-13,24350,Methow Valley,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,31103,Monroe,69,5,0,0,14,5,4,16,58,30,5,51.7,39.7,8.6
2012-13,14066,Montesano,9,1,0,0,0,1,0,1,9,8,0,88.9,11.1,0.0
2012-13,21214,Morton,6,0,0,0,0,0,1,1,5,3,1,60.0,20.0,20.0
2012-13,13161,Moses Lake,45,22,1,1,3,11,9,13,54,23,6,42.6,46.3,11.1
2012-13,21206,Mossyrock,8,0,0,0,0,1,1,0,8,6,0,75.0,25.0,0.0
2012-13,39209,Mount Adams,6,0,0,0,0,0,1,0,6,3,2,50.0,16.7,33.3
2012-13,37507,Mount Baker,21,3,0,1,3,1,1,0,24,14,4,58.3,25.0,16.7
2012-13,29320,Mount Vernon,71,6,1,2,3,6,7,7,70,42,9,60.0,27.1,12.9
2012-13,31006,Mukilteo,106,14,2,4,2,7,9,12,108,72,12,66.7,22.2,11.1
2012-13,39003,Naches Valley,9,0,0,1,0,0,1,2,7,5,0,71.4,28.6,0.0
2012-13,21014,Napavine,4,0,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2012-13,25155,Naselle-Grays River Valley,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,26056,Newport,8,3,0,1,1,0,0,2,9,6,1,66.7,22.2,11.1
2012-13,32325,Nine Mile Falls,17,1,0,0,1,2,0,2,16,13,0,81.3,18.8,0.0
2012-13,37506,Nooksack Valley,12,3,1,0,1,2,1,3,12,7,0,58.3,41.7,0.0
2012-13,14064,North Beach,4,4,0,0,1,1,3,0,8,3,0,37.5,62.5,0.0
2012-13,11051,North Franklin,16,4,0,0,0,1,0,2,18,16,1,88.9,5.6,5.6
2012-13,18400,North Kitsap,59,10,2,0,4,6,10,10,59,35,2,59.3,37.3,3.4
