SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,276,70,6,8,9,20,12,65,281,225,1,80.1,19.6,0.4
2012-13,Asotin,258,93,1,6,15,14,34,55,296,210,16,70.9,23.6,5.4
2012-13,Benton,2443,447,25,27,68,131,120,351,2539,2087,81,82.2,14.6,3.2
2012-13,Chelan,1033,185,12,20,34,94,71,148,1070,812,27,75.9,21.6,2.5
2012-13,Clallam,1551,526,107,138,272,304,150,175,1902,832,99,43.7,51.1,5.2
2012-13,Clark,5749,1166,61,62,171,331,251,1109,5806,4804,126,82.7,15.1,2.2
2012-13,Columbia,44,8,1,3,0,2,0,15,37,31,0,83.8,16.2,0.0
2012-13,Cowlitz,1316,245,14,17,70,88,50,205,1356,1068,49,78.8,17.6,3.6
2012-13,Douglas,490,84,5,3,11,24,23,67,507,430,11,84.8,13.0,2.2
2012-13,Ferry,64,13,1,2,1,1,1,12,65,58,1,89.2,9.2,1.5
2012-13,Franklin,1088,209,42,25,52,81,65,107,1190,876,49,73.6,22.3,4.1
2012-13,Garfield,30,7,0,0,0,1,0,9,28,27,0,96.4,3.6,0.0
2012-13,Grant,1298,288,39,37,67,106,77,208,1378,1017,35,73.8,23.7,2.5
2012-13,Grays Harbor,808,132,9,22,43,75,62,82,858,620,27,72.3,24.6,3.1
2012-13,Island,630,194,4,9,10,27,28,159,665,554,33,83.3,11.7,5.0
2012-13,Jefferson,193,64,2,1,6,12,10,45,212,177,4,83.5,14.6,1.9
2012-13,King,19148,3505,253,331,468,1055,800,2691,19962,16203,852,81.2,14.6,4.3
2012-13,Kitsap,2907,531,41,32,66,115,135,384,3054,2568,97,84.1,12.7,3.2
2012-13,Kittitas,372,72,10,6,24,23,16,47,397,308,10,77.6,19.9,2.5
2012-13,Klickitat,271,200,1,10,39,29,9,176,295,207,0,70.2,29.8,0.0
2012-13,Lewis,989,230,12,20,28,124,63,162,1057,784,26,74.2,23.4,2.5
2012-13,Lincoln,158,42,1,2,4,2,1,33,167,155,2,92.8,6.0,1.2
2012-13,Mason,589,98,6,4,15,45,31,100,587,466,20,79.4,17.2,3.4
2012-13,Okanogan,523,103,6,7,22,47,50,74,552,407,13,73.7,23.9,2.4
2012-13,Pacific,280,102,1,9,24,73,20,70,312,180,5,57.7,40.7,1.6
2012-13,Pend Oreille,143,40,0,2,3,7,6,37,146,126,2,86.3,12.3,1.4
2012-13,Pierce,9475,1899,196,193,353,686,403,1745,9629,7428,370,77.1,19.0,3.8
2012-13,San Juan,112,32,2,0,5,10,3,24,120,100,0,83.3,16.7,0.0
2012-13,Skagit,1489,265,16,24,54,150,92,238,1516,1123,57,74.1,22.2,3.8
2012-13,Skamania,135,32,14,25,29,2,5,26,141,64,2,45.4,53.2,1.4
2012-13,Snohomish,8586,1276,69,99,245,547,374,1347,8515,6888,293,80.9,15.7,3.4
2012-13,Spokane,5734,895,86,67,200,296,204,736,5893,4910,130,83.3,14.5,2.2
2012-13,Stevens,630,225,2,20,51,115,57,139,716,450,21,62.8,34.2,2.9
2012-13,Thurston,3040,611,18,27,76,222,175,540,3111,2521,72,81.0,16.7,2.3
2012-13,Wahkiakum,37,4,0,0,2,1,2,3,38,31,2,81.6,13.2,5.3
2012-13,Walla Walla,672,203,2,6,13,36,29,175,700,585,29,83.6,12.3,4.1
2012-13,Whatcom,1988,322,28,39,67,147,77,351,1959,1547,54,79.0,18.3,2.8
2012-13,Whitman,341,53,1,2,3,15,7,54,340,308,4,90.6,8.2,1.2
2012-13,Yakima,3539,783,74,95,146,311,259,563,3759,2768,106,73.6,23.5,2.8
