SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,45,27,4,4,4,8,2,19,53,31,0,58.5,41.5,0.0
2012-13,Asotin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Benton,237,51,3,4,15,23,12,35,253,183,13,72.3,22.5,5.1
2012-13,Chelan,172,50,3,7,4,24,17,40,182,112,15,61.5,30.2,8.2
2012-13,Clallam,10,3,0,0,4,2,2,1,12,4,0,33.3,66.7,0.0
2012-13,Clark,6,1,0,0,1,1,0,1,6,4,0,66.7,33.3,0.0
2012-13,Columbia,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Cowlitz,2,0,0,0,1,0,0,1,1,0,0,0.0,100.0,0.0
2012-13,Douglas,90,23,1,2,2,6,7,11,102,78,6,76.5,17.6,5.9
2012-13,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Franklin,149,60,11,9,12,12,10,27,182,115,13,63.2,29.7,7.1
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,149,54,3,6,9,17,7,23,180,133,5,73.9,23.3,2.8
2012-13,Grays Harbor,19,5,1,0,1,3,2,2,22,13,2,59.1,31.8,9.1
2012-13,Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Jefferson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,King,70,17,0,0,0,3,5,12,75,55,12,73.3,10.7,16.0
2012-13,Kitsap,4,3,0,0,0,1,2,1,6,3,0,50.0,50.0,0.0
2012-13,Kittitas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Klickitat,2,0,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2012-13,Lewis,22,12,0,0,0,5,4,4,30,21,0,70.0,30.0,0.0
2012-13,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Mason,5,1,2,1,0,0,0,0,6,3,0,50.0,50.0,0.0
2012-13,Okanogan,28,21,0,3,4,5,5,1,48,29,2,60.4,35.4,4.2
2012-13,Pacific,24,3,0,0,2,3,0,5,22,17,0,77.3,22.7,0.0
2012-13,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Pierce,2,1,1,0,0,0,0,1,2,1,0,50.0,50.0,0.0
2012-13,San Juan,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,Skagit,76,22,1,3,4,12,6,13,85,56,3,65.9,30.6,3.5
2012-13,Skamania,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Snohomish,16,2,0,0,3,1,0,3,15,9,2,60.0,26.7,13.3
2012-13,Spokane,3,0,0,1,0,1,0,0,3,0,1,0.0,66.7,33.3
2012-13,Stevens,8,2,0,0,0,3,3,1,9,2,1,22.2,66.7,11.1
2012-13,Thurston,4,1,0,0,0,0,2,2,3,1,0,33.3,66.7,0.0
2012-13,Wahkiakum,8,0,0,0,1,0,0,0,8,7,0,87.5,12.5,0.0
2012-13,Walla Walla,16,7,0,0,2,0,1,3,20,17,0,85.0,15.0,0.0
2012-13,Whatcom,28,16,0,1,2,7,5,8,36,21,0,58.3,41.7,0.0
2012-13,Whitman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Yakima,816,275,18,24,46,86,79,126,965,679,33,70.4,26.2,3.4
