SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,192,56,5,7,8,19,10,45,203,153,1,75.4,24.1,0.5
2012-13,Asotin,122,51,0,5,13,14,27,19,154,82,13,53.2,38.3,8.4
2012-13,Benton,1065,219,9,17,57,103,78,141,1143,816,63,71.4,23.1,5.5
2012-13,Chelan,578,96,3,13,21,77,57,62,612,417,24,68.1,27.9,3.9
2012-13,Clallam,776,193,9,52,163,177,99,66,903,343,60,38.0,55.4,6.6
2012-13,Clark,2627,642,6,45,121,227,208,524,2745,2043,95,74.4,22.1,3.5
2012-13,Columbia,15,1,0,2,0,2,0,3,13,9,0,69.2,30.8,0.0
2012-13,Cowlitz,703,136,3,11,51,66,38,119,720,516,35,71.7,23.5,4.9
2012-13,Douglas,289,54,2,4,9,18,20,30,313,251,9,80.2,16.9,2.9
2012-13,Ferry,42,6,1,1,1,1,1,4,44,38,1,86.4,11.4,2.3
2012-13,Franklin,842,154,12,25,41,73,59,69,927,673,44,72.6,22.7,4.7
2012-13,Garfield,14,3,0,0,0,1,0,4,13,12,0,92.3,7.7,0.0
2012-13,Grant,895,191,14,27,59,102,58,118,968,678,30,70.0,26.9,3.1
2012-13,Grays Harbor,506,88,3,17,34,65,55,48,546,348,24,63.7,31.9,4.4
2012-13,Island,223,81,1,3,5,22,18,51,253,185,19,73.1,19.4,7.5
2012-13,Jefferson,91,23,0,1,3,10,8,7,107,82,3,76.6,20.6,2.8
2012-13,King,7045,1656,58,165,310,682,594,1012,7689,5313,567,69.1,23.5,7.4
2012-13,Kitsap,1035,234,6,14,33,79,109,133,1136,819,76,72.1,21.2,6.7
2012-13,Kittitas,127,30,1,3,14,11,11,19,138,92,6,66.7,29.0,4.3
2012-13,Klickitat,144,45,1,6,5,24,7,27,162,119,0,73.5,26.5,0.0
2012-13,Lewis,621,168,2,17,23,111,59,103,686,450,24,65.6,30.9,3.5
2012-13,Lincoln,79,13,2,1,1,2,1,12,80,73,0,91.3,8.8,0.0
2012-13,Mason,342,58,4,2,12,34,27,61,339,245,15,72.3,23.3,4.4
2012-13,Okanogan,366,74,3,5,21,37,47,44,396,273,10,68.9,28.5,2.5
2012-13,Pacific,202,66,0,7,20,59,17,54,214,106,5,49.5,48.1,2.3
2012-13,Pend Oreille,84,21,0,1,3,7,5,16,89,71,2,79.8,18.0,2.2
2012-13,Pierce,4247,935,32,96,225,463,313,816,4366,2992,245,68.5,25.9,5.6
2012-13,San Juan,46,14,1,0,3,5,4,7,53,40,0,75.5,24.5,0.0
2012-13,Skagit,782,147,6,16,37,114,73,115,814,520,48,63.9,30.2,5.9
2012-13,Skamania,58,11,1,7,16,3,2,9,60,30,1,50.0,48.3,1.7
2012-13,Snohomish,3266,531,7,39,114,335,252,531,3266,2345,174,71.8,22.9,5.3
2012-13,Spokane,2791,466,12,40,148,227,172,322,2935,2231,105,76.0,20.4,3.6
2012-13,Stevens,407,97,0,8,35,72,40,68,436,265,16,60.8,35.6,3.7
2012-13,Thurston,1097,259,5,16,39,134,124,192,1164,796,50,68.4,27.3,4.3
2012-13,Wahkiakum,26,0,0,0,1,0,1,0,26,22,2,84.6,7.7,7.7
2012-13,Walla Walla,370,74,0,4,9,28,21,63,381,299,20,78.5,16.3,5.2
2012-13,Whatcom,889,163,6,15,50,111,57,148,904,630,35,69.7,26.4,3.9
2012-13,Whitman,103,21,0,2,2,8,3,22,102,84,3,82.4,14.7,2.9
2012-13,Yakima,2635,575,13,82,141,268,218,365,2845,2023,100,71.1,25.4,3.5
